,PM,date,publish_date,activities
3,Shinzo_Abe,12月29日,2012-12-30,▽6時6分　富ケ谷の私邸発。▽6時40分　やまびこ203号でＪＲ東京駅発。▽8時19分　ＪＲ郡山駅着。根本復興相が同行。▽9時45分　福島県楢葉町の福島原発の事故対応拠点「Ｊヴィレッジ」で作業員を激励。▽10時58分　大熊、双葉両町の福島第1原発着。免震重要棟で作業員を激励。▽11時41分　車中から福島第1原発構内を視察。▽12時59分　Ｊヴィレッジ着。▽14時18分　川内村の仮設住宅入居者支援施設「五社の杜サポートセンター」前で村民らと面会。森少子化相、佐藤福島県知事らが同行。▽14時27分　同村の金属加工会社「菊池製作所　川内村工場」を視察。▽14時42分　同村のコンビニエンスストア「ファミリーマート川内村店」を視察、買い物。▽14時49分　同村の植物工場「川内高原農産物栽培工場」で試験栽培場を視察。続いて報道各社のインタビュー。▽16時35分　郡山市の若宮前仮設住宅で入居者と意見交換。▽17時32分　ＪＲ郡山駅で荒井新党改革幹事長。▽18時1分　やまびこ152号で同駅発。▽19時28分　ＪＲ東京駅着。▽19時48分　私邸着。 
4,Shinzo_Abe,12月30日,2012-12-31,　午前中は富ケ谷の私邸で過ごす。▽13時　官邸でＴＢＳのインタビュー。▽14時20分　産経新聞のインタビュー。▽15時　北村情報官。続いて中国新聞のインタビュー。▽16時　菅官房長官。▽17時2分　私邸着。 
13,Shinzo_Abe,1月9日,2013-01-10,▽8時57分　富ケ谷の私邸発。▽9時23分　官邸で外務省の杉山アジア大洋州局長。▽10時31分　中日新聞・東京新聞のインタビュー。▽11時26分　政府広報のラジオ番組収録。▽12時　潘基文国連事務総長と電話。斎木外務審議官が残る。▽14時　石井準一参院議員。続いて山口県の松浦正人防府市長。▽14時31分　韓日議員連盟の黄祐呂会長。▽15時19分　佐藤福島県知事。▽15時54分　ホテルニューオータニで日本生産性本部の新年互礼会。▽16時55分　官邸でオランド仏大統領と電話。▽17時10分　高市政調会長。続いて日本医師会の横倉義武会長。▽17時44分　伊藤元重東大教授ら経済財政諮問会議民間議員に辞令交付。▽18時1分　経済財政諮問会議。▽19時2分　麻生財務相。▽19時31分　外務省の河相次官、斎木外務審議官、伊原北米局長、菅官房長官。▽20時26分　四谷の焼肉店「龍月園」で秘書官ら。▽22時47分　私邸着。 
14,Shinzo_Abe,1月10日,2013-01-11,▽8時47分　富ケ谷の私邸発。▽9時7分　官邸で麻生財務相、財務省の真砂次官、木下主計局長、田中主税局長、古沢理財局長。▽9時52分　甘利経済再生相、内閣府の松元次官、松山内閣府審議官。再生相が残る。▽10時15分　外務省の河相次官、斎木外務審議官。杉山アジア大洋州局長が加わる。▽12時10分　ホテルニューオータニでＮＰＯ・ＹＰＯ賀詞交歓会。▽12時36分　丸の内の東京会館で全国菓子工業組合連合会新年会。▽13時12分　官邸で復興推進会議。▽13時54分　河相次官。▽14時16分　村井宮城県知事。小野寺防衛相、秋葉復興副大臣が同席。▽14時26分　根本復興相。▽15時30分　国際原子力機関の天野事務局長。▽15時59分　ホテルオークラで日本税理士会連合会新年賀詞交歓会。▽16時30分　官邸で山口県の山本知事、福田岩国市長、柳居県議会議長ら。岸信夫衆院議員が同席。▽17時3分　緊急経済対策に関する政府与党会議。▽17時45分　米村危機管理監、北村情報官。情報官が残る。▽18時22分　日本経済新聞のインタビュー。▽19時40分　赤坂の日本料理店「赤坂　陽羅野家」で時事通信社の田崎史郎解説委員ら。▽21時54分　私邸着。 
15,Shinzo_Abe,1月11日,2013-01-12,▽8時16分　富ケ谷の私邸発。▽8時39分　官邸で加藤、世耕両官房副長官。▽9時18分　日本経済再生本部。続いて閣議。▽9時51分　記者会見。▽11時17分　全日空21便で羽田空港発。世耕副長官が同行。▽12時5分　伊丹空港着。▽12時39分　大阪市のホテルニューオータニ大阪で松井大阪府知事、橋下大阪市長。▽13時10分　読売テレビで番組収録。▽15時13分　神戸市の理化学研究所の計算科学研究機構を視察。野依良治理研理事長らが出迎え。▽15時49分　理研の発生・再生科学総合研究センターを視察。▽16時25分　野依理事長、山中伸弥京大教授ら。この後、報道各社のインタビュー。▽17時46分　兵庫県尼崎市の薄板ばね製造会社「特発三協製作所」を視察。続いて中小企業の経営者らと懇談。鈴木中小企業庁長官らが同席。▽19時13分　全日空38便で伊丹空港発。▽19時56分　羽田空港着。▽20時46分　渋谷区大山町の柳井正ファーストリテイリング会長宅で柳井会長。▽22時33分　私邸着。 
16,Shinzo_Abe,1月12日,2013-01-13,▽7時15分　富ケ谷の私邸発。▽7時56分　はやて103号でＪＲ東京駅発。▽9時37分　ＪＲ仙台駅着。根本復興相が同行。▽10時51分　宮城県石巻市の造船会社「ヤマニシ」を視察。村井宮城県知事らが同行。▽11時30分　同市の日本製紙石巻工場を視察。▽12時3分　同市の水産加工会社「スイシン」を視察。▽13時38分　宮城県岩沼市の竹駒神社参集殿で昼食。▽14時24分　同市の防災集団移転事業の造成現場を視察。▽14時53分　宮城県亘理町の民家で被災者と懇談。続いて報道各社のインタビュー。▽15時16分　同町の仮設商店街、仮設住宅を視察。この後、仮設住宅内の集会所で入居者と懇談。▽16時22分　報道各社のインタビュー。▽17時44分　はやて110号でＪＲ仙台駅発。▽19時27分　ＪＲ東京駅着。▽20時　私邸着。 
17,Shinzo_Abe,1月13日,2013-01-14,▽8時17分　富ケ谷の私邸発。▽9時1分　紀尾井町のＮＨＫ千代田放送会館で番組に出演。▽9時51分　私邸着。▽11時9分　代々木神園町の明治神宮を参拝。昭恵夫人、萩生田光一衆院議員が同行。続いて報道各社のインタビュー。▽12時2分　私邸着。▽13時56分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽18時5分　私邸で新党改革の荒井幹事長。 
20,Shinzo_Abe,1月16日,2013-01-17,（日本時間）▽9時15分　富ケ谷の私邸発。▽9時50分　羽田空港で報道各社のインタビュー。▽10時20分　ベトナム、タイ、インドネシア3カ国歴訪のため昭恵夫人とともに政府専用機で同空港発。（現地時間）　午後　ハノイのノイバイ国際空港着。国家主席府で歓迎式典。首相府でグエン・タン・ズン首相と首脳会談。　夕　共同記者発表。ベトナム共産党本部でグエン・フー・チョン書記長と会談。国家主席府でチュオン・タン・サン国家主席を表敬。　夜　ホテル・ニッコー・ハノイでフートゥー村の小学校の児童ら。国際コンベンションセンターでズン首相夫妻主催の晩さん会。ホテル・ニッコー・ハノイに宿泊。 
21,Shinzo_Abe,1月17日,2013-01-18,（現地時間）　朝　ホテル・ニッコー・ハノイで報道各社のインタビュー。政府専用機でハノイのノイバイ国際空港発。　午前　バンコクのドンムアン空港着。　昼　フォーシーズンズ・ホテルで在留邦人と懇談。　午後　泰日工業大学を視察。フォーシーズンズ・ホテルで同行記者と懇談。キャメロン英首相と電話。シリラート病院でプミポン国王。　夜　首相府で歓迎式典。タイのインラック首相と会談。共同記者発表。インラック首相主催の晩さん会。フォーシーズンズ・ホテルに宿泊。 
22,Shinzo_Abe,1月17日・18日,2013-01-19,（現地時間）〈17日〉　夜　バンコクのフォーシーズンズ・ホテルでアルジェリアのセラル首相と電話。同ホテルに宿泊。〈18日〉　朝　政府専用機でバンコクのドンムアン空港発。　午前　ジャカルタのハリム空港着。　午後　ホテルインドネシア・ケンピンスキー・ジャカルタで報道各社のインタビュー。フジテレビのインタビュー。　夕　大統領宮殿で歓迎式典。少人数会合。インドネシアのユドヨノ大統領と会談。共同記者会見。ホテルインドネシア・ケンピンスキー・ジャカルタ着。　夜　政府専用機でジャカルタのハリム空港発。 
