,PM,date,publish_date,activities
7,Shinzo_Abe,1月3日,2013-01-04,▽8時2分　千葉県市原市の森永高滝カントリー倶楽部で親族らとゴルフ。▽16時　グランドハイアット東京着。宿泊。 
65,Shinzo_Abe,3月3日,2013-03-04,▽7時52分　山梨県鳴沢村の別荘発。▽8時28分　静岡県小山町の東富士カントリークラブで昭恵夫人らとゴルフ。▽15時31分　同町の冨士霊園で祖父・岸元首相、父・晋太郎元外相の墓参り。続いて報道各社のインタビュー。▽18時5分　私邸着。 
85,Shinzo_Abe,3月23日,2013-03-24,▽7時15分　富ケ谷の私邸発。▽8時36分　神奈川県茅ケ崎市のスリーハンドレッドクラブで親族らとゴルフ。▽16時56分　私邸着。▽18時36分　築地の料理屋「河庄双園」で巨人の原辰徳監督。甘利経済再生相、松下国交政務官が同席。▽21時14分　私邸着。 
128,Shinzo_Abe,5月6日・7日,2013-05-08,〈6日〉▽7時7分　山梨県鳴沢村の別荘発。▽7時11分　富士河口湖町の富士桜カントリー倶楽部で萩生田光一衆院議員、本田内閣参与らとゴルフ。▽16時7分　あずさ76号でＪＲ大月駅発。▽17時16分　ＪＲ新宿駅着。▽17時34分　セルリアンタワー東急ホテルの中国料理店「スーツァンレストラン陳」で昭恵夫人ら。▽20時20分　富ケ谷の私邸着。▽21時2分　麻生副総理。〈7日〉▽8時41分　私邸発。▽8時56分　官邸で森元首相。▽9時33分　閣議。▽9時58分　皇居で帰国の記帳。▽10時54分　官邸で小野寺防衛相、黒江防衛省運用企画局長、岩崎統合幕僚長。▽11時34分　下村文科相、山中文科審議官ら。続いて甘利経済再生相。松元内閣府次官が加わる。再生相が残る。入れ替わりに東京都小笠原村の森下一男村長ら。▽12時4分　政府・与党連絡会議。▽13時　参院予算委。▽17時23分　官邸でファビウス仏外相。▽17時47分　経済財政諮問会議。▽18時45分　谷内内閣参与。この後、川口参院環境委員長。▽19時13分　ホテルニューオータニで二階派のパーティー。▽19時33分　パレスホテル東京の日本料理店「和田倉」で西沢豊時事通信社長ら。▽21時36分　私邸着。 
222,Shinzo_Abe,8月10日,2013-08-11,▽7時8分　静養先の山梨県鳴沢村の別荘発。▽7時14分　鳴沢ゴルフ倶楽部で友人、秘書官とゴルフ。▽15時28分　別荘着。▽18時8分　富士河口湖町の中国料理店「異彩中国菜館　湖宮」で友人ら。▽20時26分　別荘着。 
223,Shinzo_Abe,8月11日・12日,2013-08-13,〈11日〉▽8時28分　静養先の山梨県鳴沢村の別荘発。▽8時31分　富士河口湖町の富士桜カントリー倶楽部で本田内閣参与、友人らとゴルフ。▽17時　別荘で本田参与。〈12日〉▽8時1分　別荘発。▽9時37分　官邸着。▽10時32分　イスラエルとパレスチナの青少年ら。▽11時21分　報道各社のインタビュー。▽12時19分　日本航空1645便で羽田空港発。▽13時33分　山口宇部空港着。▽14時54分　山口県美祢市の「金子農園」でナシ栽培を視察。▽16時7分　長門市の安倍家の墓で父・晋太郎元外相らの墓参り。▽16時52分　ＪＲ長門市駅前の商店街で支援者らと記念撮影や握手。▽17時56分　長門市役所前で支援者らにあいさつ。▽18時55分　旅館「大谷山荘」で後援会の会合。宿泊。 
227,Shinzo_Abe,8月16日,2013-08-17,▽6時55分　山梨県鳴沢村の別荘発。▽7時30分　富士河口湖町の富士桜カントリー倶楽部で森元首相、茂木経産相、笹川陽平日本財団会長らとゴルフ。▽14時15分　別荘着。▽17時30分　古森重隆富士フイルムホールディングス会長、日枝久フジテレビ会長ら。 
228,Shinzo_Abe,8月17日,2013-08-18,▽6時40分　山梨県鳴沢村の別荘発。▽7時5分　山中湖村のゴルフ場「富士ゴルフコース」で古森重隆富士フイルムホールディングス会長夫妻、昭恵夫人らとゴルフ。▽14時21分　別荘着。▽17時46分　忍野村の日本料理店「忍野八洲」で渡文明ＪＸホールディングス相談役。長谷川補佐官らが同席。▽20時44分　別荘着。 
229,Shinzo_Abe,8月18日,2013-08-19,▽8時20分　静養先の山梨県鳴沢村の別荘発。▽9時3分　鳴沢ゴルフ倶楽部で御手洗冨士夫キヤノン会長兼社長、渡文明ＪＸホールディングス相談役らとゴルフ。▽16時10分　別荘着。▽18時2分　山中湖村のホテルマウント富士で日本維新の会の石原慎太郎共同代表、石原伸晃環境相。この後、日枝久フジテレビ会長、加藤官房副長官ら。昭恵夫人が同席。▽21時11分　別荘着。 
231,Shinzo_Abe,8月20日,2013-08-21,▽6時49分　山梨県鳴沢村の別荘発。▽7時30分　富士河口湖町の富士桜カントリー倶楽部で山本衆院予算委員長、鴨下国対委員長、日枝久フジテレビ会長とゴルフ。▽14時13分　報道各社のインタビュー。▽14時19分　別荘着。▽17時53分　富士吉田市の中国料理店「蓮」で母の洋子さんら。▽19時39分　別荘着。 
