,PM,date,publish_date,activities
5,Shinzo_Abe,12月31日,2013-01-01,　午前中は富ケ谷の私邸で過ごす。▽12時44分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽16時44分　私邸着。 
9,Shinzo_Abe,1月5日,2013-01-06,▽10時31分　富ケ谷の私邸発。▽11時29分　千葉県松戸市の霊園で政治評論家の故三宅久之氏の墓参り。▽12時38分　ザ・キャピトルホテル東急のレストラン「オリガミ」で首相秘書官。続いて石原環境相。▽13時32分　官邸で米村危機管理監、北村情報官、北村海上保安庁長官、西村警察庁警備局長、平松外務省総合外交政策局長ら。▽15時　本田内閣参与。この後、河相外務次官。▽16時　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽18時4分　東麻布のうなぎ専門店「五代目野田岩」で俳優の津川雅彦氏ら。▽20時43分　私邸着。 
17,Shinzo_Abe,1月13日,2013-01-14,▽8時17分　富ケ谷の私邸発。▽9時1分　紀尾井町のＮＨＫ千代田放送会館で番組に出演。▽9時51分　私邸着。▽11時9分　代々木神園町の明治神宮を参拝。昭恵夫人、萩生田光一衆院議員が同行。続いて報道各社のインタビュー。▽12時2分　私邸着。▽13時56分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽18時5分　私邸で新党改革の荒井幹事長。 
45,Shinzo_Abe,2月10日,2013-02-11,　午前中は富ケ谷の私邸で過ごす。▽12時49分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽16時56分　私邸で谷口内閣審議官。 
50,Shinzo_Abe,2月16日,2013-02-17,▽9時48分　富ケ谷の私邸発。▽10時23分　公邸で時事通信社のインタビュー。▽11時10分　米紙ワシントン・ポストのインタビュー。▽12時28分　自民党本部で同党都連青年部・青年局合同定期大会。▽12時40分　ザ・キャピトルホテル東急のレストラン「オリガミ」で首相秘書官。▽13時18分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽17時8分　私邸着。 
71,Shinzo_Abe,3月9日,2013-03-10,▽9時23分　富ケ谷の私邸発。▽10時　六本木のテレビ朝日でＢＳ朝日番組に出演。▽11時9分　私邸着。▽15時52分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽18時53分　ホテルニューオータニの中国料理店「Ｔａｉｋａｎ　Ｅｎ」で河内総務官ら。▽22時19分　私邸着。 
82,Shinzo_Abe,3月20日,2013-03-21,▽9時22分　富ケ谷の私邸発。▽9時36分　皇居で春季皇霊祭・神殿祭の儀。▽11時7分　私邸着。▽15時38分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽18時30分　同ホテルのステーキ店「オークドア」で米国留学時代の友人ら。▽20時46分　私邸着。 
100,Shinzo_Abe,4月7日,2013-04-08,　午前中は富ケ谷の私邸で過ごす。▽12時38分　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽14時12分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽17時55分　高輪のホテル「ザ・プリンスさくらタワー東京」の日本料理店「高輪　七軒茶屋」で昭恵夫人、米国留学時代の友人ら。▽21時1分　私邸着。 
132,Shinzo_Abe,5月11日,2013-05-12,▽10時16分　富ケ谷の私邸発。▽10時35分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽13時25分　同ホテル内のフランス料理店「ＴＨＥ　ＦＲＥＮＣＨ　ＫＩＴＣＨＥＮ」で谷口内閣審議官ら。▽14時17分　六本木の「ＴＯＨＯシネマズ六本木ヒルズ」で映画「リンカーン」を鑑賞。▽17時15分　公邸で米フォーリン・アフェアーズ誌のインタビュー。▽18時23分　日比谷公園の日比谷野外音楽堂で南こうせつさんのコンサートに出演。▽18時46分　赤坂の居酒屋「うまいぞお乃木坂」で成蹊大の同窓会。▽22時30分　私邸着。 
166,Shinzo_Abe,6月15日,2013-06-16,▽10時6分　富ケ谷の私邸発。▽10時25分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽13時55分　羽田空港で報道各社のインタビュー。▽14時20分　ポーランド、英国、アイルランドの欧州3カ国歴訪のため政府専用機で同空港発。（現地時間）　夜　ポーランドのワルシャワ空港着。 
180,Shinzo_Abe,6月29日,2013-06-30,▽11時45分　富ケ谷の私邸発。▽12時3分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽15時51分　私邸着。 
202,Shinzo_Abe,7月21日・22日,2013-07-22,〈21日〉▽11時9分　富ケ谷の私邸で斎木外務次官。▽11時46分　私邸発。▽12時3分　グランドハイアット東京の日本料理店「旬房」で麻生副総理。▽13時15分　同ホテルで長谷川補佐官。▽14時　同ホテルの「ＮＡＧＯＭＩスパアンドフィットネス」。▽17時50分　ホテルオークラの鉄板焼き店「さざんか」で秘書官。▽19時55分　党本部で河村選対委員長。▽21時45分　テレビ各局の報道番組に出演。▽22時30分　茂木経産相。この後、動画サイト「ニコニコ動画」に出演。▽22時48分　テレビ・ラジオ各局の報道番組に出演。▽23時52分　報道各社のインタビュー。〈22日〉▽0時8分　私邸着。 
209,Shinzo_Abe,7月28日,2013-07-29,▽9時57分　富ケ谷の私邸発。▽10時10分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽13時28分　私邸着。 
225,Shinzo_Abe,8月14日,2013-08-15,▽10時32分　富ケ谷の私邸発。▽10時49分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽14時32分　私邸着。▽18時2分　横浜市の本覚寺で秘書官の親族の通夜。▽18時47分　ホテルニューオータニの日本料理店「なだ万本店山茶花荘」で菅官房長官、中川秀直元幹事長ら。▽20時48分　私邸着。 
263,Shinzo_Abe,9月22日,2013-09-23,▽8時57分　富ケ谷の私邸発。▽9時13分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽13時4分　私邸着。 
296,Shinzo_Abe,10月26日,2013-10-27,▽9時57分　防衛省で自衛隊殉職隊員追悼式。▽11時20分　公邸で衛藤補佐官。▽11時56分　ホテルオークラの日本料理店「山里」でタイのタクシン元首相。補佐官が同席。▽13時9分　公邸で長谷川補佐官。▽14時47分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽18時33分　ホテルグランドパレスで山口県出身者でつくる「長州友の会」。▽20時5分　富ケ谷の私邸着。 
303,Shinzo_Abe,11月2日,2013-11-03,　午前中は公邸で過ごす。▽13時23分　ロシアのラブロフ外相、ショイグ国防相。岸田外相、小野寺防衛相が同席。▽14時42分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽18時9分　富ケ谷の私邸着。▽18時21分　私邸発。▽18時43分　公邸着。 
323,Shinzo_Abe,11月23日,2013-11-24,▽11時55分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽15時19分　六本木の「ＴＯＨＯシネマズ六本木ヒルズ」で母洋子さんと映画「清須会議」を観賞。▽18時19分　公邸で米村危機管理監、兼原、高見沢両官房副長官補。▽19時1分　皇居で新嘗祭神嘉殿の儀。▽20時49分　富ケ谷の私邸着。 
350,Shinzo_Abe,12月21日,2013-12-22,▽11時2分　富ケ谷の私邸発。▽11時17分　官邸で内閣府の西村副大臣、松元次官。続いて麻生財務相、財務省の木下次官、香川主計局長。▽12時6分　政府与党政策懇談会。▽12時40分　ザ・キャピトルホテル東急のレストラン「ＯＲＩＧＡＭＩ」で秘書官。▽13時32分　日本橋室町の日本橋三越本店で「2013年報道写真展」。▽13時58分　公邸で作詞家の秋元康氏ら。▽15時13分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽19時13分　私邸着。 
360,Shinzo_Abe,12月31日,2014-01-01,▽10時45分　宿泊先のグランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽14時51分　六本木の「ＴＯＨＯシネマズ六本木ヒルズ」で昭恵夫人らと映画「永遠の0」を鑑賞。▽18時32分　同ホテルのステーキ店「オークドア」で昭恵夫人ら。宿泊。 
