,PM,date,publish_date,activities
20,Shinzo_Abe,1月16日,2013-01-17,（日本時間）▽9時15分　富ケ谷の私邸発。▽9時50分　羽田空港で報道各社のインタビュー。▽10時20分　ベトナム、タイ、インドネシア3カ国歴訪のため昭恵夫人とともに政府専用機で同空港発。（現地時間）　午後　ハノイのノイバイ国際空港着。国家主席府で歓迎式典。首相府でグエン・タン・ズン首相と首脳会談。　夕　共同記者発表。ベトナム共産党本部でグエン・フー・チョン書記長と会談。国家主席府でチュオン・タン・サン国家主席を表敬。　夜　ホテル・ニッコー・ハノイでフートゥー村の小学校の児童ら。国際コンベンションセンターでズン首相夫妻主催の晩さん会。ホテル・ニッコー・ハノイに宿泊。 
21,Shinzo_Abe,1月17日,2013-01-18,（現地時間）　朝　ホテル・ニッコー・ハノイで報道各社のインタビュー。政府専用機でハノイのノイバイ国際空港発。　午前　バンコクのドンムアン空港着。　昼　フォーシーズンズ・ホテルで在留邦人と懇談。　午後　泰日工業大学を視察。フォーシーズンズ・ホテルで同行記者と懇談。キャメロン英首相と電話。シリラート病院でプミポン国王。　夜　首相府で歓迎式典。タイのインラック首相と会談。共同記者発表。インラック首相主催の晩さん会。フォーシーズンズ・ホテルに宿泊。 
22,Shinzo_Abe,1月17日・18日,2013-01-19,（現地時間）〈17日〉　夜　バンコクのフォーシーズンズ・ホテルでアルジェリアのセラル首相と電話。同ホテルに宿泊。〈18日〉　朝　政府専用機でバンコクのドンムアン空港発。　午前　ジャカルタのハリム空港着。　午後　ホテルインドネシア・ケンピンスキー・ジャカルタで報道各社のインタビュー。フジテレビのインタビュー。　夕　大統領宮殿で歓迎式典。少人数会合。インドネシアのユドヨノ大統領と会談。共同記者会見。ホテルインドネシア・ケンピンスキー・ジャカルタ着。　夜　政府専用機でジャカルタのハリム空港発。 
23,Shinzo_Abe,1月19日,2013-01-20,▽3時54分　政府専用機で羽田空港着。▽4時28分　官邸で菅官房長官、加藤、世耕両官房副長官、河相外務次官ら。菅長官が残る。▽6時1分　在アルジェリア邦人拘束事件対策本部会議。続いて報道各社のインタビュー。▽6時23分　危機管理センター。▽7時15分　富ケ谷の私邸着。▽17時46分　官邸で加藤、杉田両副長官、米村危機管理監、北村情報官、外務省の斎木外務審議官、平松総合外交政策局長。▽18時　キャメロン英首相と電話。この後、報道各社のインタビュー。▽18時30分　ザ・キャピトルホテル東急で山口公明党代表。▽18時50分　同ホテルの日本料理店「水簾」で渡辺みんなの党代表、塩崎政調会長代理、高橋洋一嘉悦大教授ら。▽21時14分　官邸で加藤副長官、斎木外務審議官、平松総合外交政策局長。▽21時25分　ノルウェーのストルテンベルグ首相と電話。 
55,Shinzo_Abe,2月21日,2013-02-22,▽9時6分　富ケ谷の私邸発。▽9時24分　官邸で環境省の南川次官、鈴木官房長。▽9時57分　岸田外相、外務省の河相次官、斎木外務審議官、伊原北米局長、西防衛省防衛政策局長ら。外相、次官、外務審議官、伊原局長が残る。▽12時　石破幹事長。この後、山口公明党代表。石破幹事長、井上公明党幹事長が同席。▽13時10分　斎木外務審議官。続いて山本科学技術相。▽17時2分　報道各社のインタビュー。▽17時51分　日米首脳会談のため政府専用機で羽田空港発。 
56,Shinzo_Abe,2月21日・22日,2013-02-23,（現地時間）〈21日〉　夕　政府専用機でワシントン郊外のアンドルーズ空軍基地着。ブレアハウスに宿泊。〈22日〉　午前　アーリントン国立墓地で献花。 
57,Shinzo_Abe,2月22日・23日,2013-02-24,（現地時間）〈22日〉　昼　ホワイトハウスで日米首脳会談。　午後　オバマ大統領主催の昼食会。米戦略国際問題研究所で講演。　夕　ルネッサンス・ワシントンで内外記者会見。　夜　ホテル「ウィラード・インターコンチネンタル・ワシントン」で日米交流関係者とのレセプション。日本大使公邸で有識者との夕食会。ブレアハウスに宿泊。〈23日〉　午前　政府専用機でワシントン郊外のアンドルーズ空軍基地発。 
58,Shinzo_Abe,2月24日,2013-02-25,▽13時34分　政府専用機で羽田空港着。▽14時8分　富ケ谷の私邸着。▽15時25分　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽17時17分　私邸着。▽18時7分　上野公園の寛永寺輪王殿で熊倉貞武メディパルホールディングス会長の妻、故京子さんの通夜。▽18時40分　私邸着。 
93,Shinzo_Abe,3月31日,2013-04-01,（現地時間）　朝　宿泊先のモンゴル・ウランバートル市内のチンギスハン・ホテル発。迎賓館「イフ・テンゲル」でエンフボルド国民大会議長と会談。　午前　日本人抑留中死亡者慰霊碑に献花。　昼　政府専用機でチンギスハン国際空港発。（日本時間）▽16時46分　羽田空港着。▽17時20分　富ケ谷の私邸着。 
120,Shinzo_Abe,4月28日,2013-04-29,（日本時間）▽10時12分　富ケ谷の私邸発。▽11時2分　永田町の憲政記念館で「主権回復・国際社会復帰を記念する式典」。▽12時24分　羽田空港で報道各社のインタビュー。▽12時53分　ロシア、サウジアラビア、アラブ首長国連邦、トルコの4カ国歴訪のため昭恵夫人とともに政府専用機で同空港発。（現地時間）　夕　ロシア・モスクワのブヌコボ空港着。 
122,Shinzo_Abe,4月29日・30日,2013-05-01,（現地時間）〈29日〉　夜　モスクワ市内のクレムリンに宿泊。〈30日〉　午前　同市内のロシア科学アカデミー付属植物園の日本庭園を視察。連邦議会下院（国家院）でナルイシキン下院議長。ホテル「ザ・リッツ・カールトン　モスクワ」でシュワロフ第1副首相。この後、日ロフォーラムで講演。　昼　日本大使館で日本人残留孤児のニーナ・ポリャンスカヤさん。続いて日本食材プロモーションのレセプション。　午後　政府専用機でブヌコボ空港発。 
123,Shinzo_Abe,4月30日・5月1日,2013-05-02,（現地時間）〈30日〉　夜　サウジアラビア・ジッダのキング・アブドルアジズ国際空港着。キング・ファイサル宮殿でサルマン皇太子と晩さん会。続いて皇太子と会談。この後、投資協定の署名式。〈1日〉　午前　ジッダ市内のキング・アブドルアジズ大学で政策スピーチ。同市内のホテルで同行記者団と懇談。　昼　ジッダ総領事公邸で米倉経団連会長ら同行企業経営者らと懇談。　午後　政府専用機でキング・アブドルアジズ国際空港発。アラブ首長国連邦のアブダビ国際空港着。　夜　アブダビのエミレーツ・パレス・ホテルでムハンマド・アブダビ皇太子に同行企業経営者らを紹介。この後、皇太子と会談。 
124,Shinzo_Abe,5月1日・2日,2013-05-03,（現地時間）〈1日〉　夜　アラブ首長国連邦アブダビのエミレーツ・パレス・ホテルでムハンマド・アブダビ皇太子主催の晩さん会。同ホテル泊。〈2日〉　午前　ホテルジュメイラ・エティハド・タワーズでアルマズルーイ・エネルギー相、奥田碩中東協力センター会長らと懇談。この後、ビジネスフォーラムであいさつ。ヘリでアブダビ発。ドバイ着。　午後　ドバイ市内の都市鉄道を視察。ザアビール宮殿でムハンマド首相と会談。続いてムハンマド首相主催の昼食会。この後、原子力協定の署名式。ヘリでドバイ発。アブダビ着。エミレーツ・パレス・ホテルで報道各社のインタビュー。　夕　アブダビ国際空港でハッザーア国家安全省補佐官。政府専用機で同空港発。 
125,Shinzo_Abe,5月2日・3日,2013-05-04,（現地時間）〈2日〉　夜　政府専用機でトルコ・アンカラのエセンボア空港着。アンカラ・ヒルトンＳＡホテルに宿泊。〈3日〉　朝　同ホテルで日本トルコ合同経済委員会。　午前　アンカラ市内のケマル・アタチュルク初代トルコ大統領廟（びょう）で献花。トルコ日本基金文化センターを訪問。　昼　日本大使公邸で同行経済人とのレセプション。　午後　首相府で歓迎式典。エルドアン首相と会談。アンカラ・ヒルトンＳＡホテルで内外記者会見。ＪＷマリオットホテル・アンカラで同首相、経済人と会合。同首相と共同宣言に署名。共同記者発表。　夜　同首相主催の晩さん会。 
126,Shinzo_Abe,5月3日・4日,2013-05-05,（現地時間）〈3日〉　夜　政府専用機でトルコ・アンカラのエセンボア空港発。（日本時間）〈4日〉▽13時46分　羽田空港着。▽14時29分　富ケ谷の私邸着。▽17時5分　私邸発。▽18時19分　山梨県富士河口湖町の焼肉店「鉄庵」で昭恵夫人ら。▽20時　同町の「ドラッグセイムス河口湖店」で買い物。この後、鳴沢村の別荘着。 
145,Shinzo_Abe,5月24日,2013-05-25,（日本時間）▽7時52分　富ケ谷の私邸発。▽8時10分　官邸でＩＴ総合戦略本部。続いて閣議。▽8時40分　森少子化相。この後、世耕官房副長官。▽10時1分　参院本会議。▽11時58分　官邸で茨城県潮来市の「あやめ娘」の関口さおりさんら。額賀福志郎衆院議員らが同席。▽12時11分　石破幹事長。入れ替わりに山口公明党代表。菅官房長官らが同席。▽13時24分　高市政調会長。▽14時49分　ミャンマー訪問のため昭恵夫人と政府専用機で羽田空港発。（現地時間）　夜　ミャンマーのヤンゴン国際空港着。ヤンゴン市内のチャトリウムホテル・ロイヤルレイク・ヤンゴン着。日本大使公邸で夕食会。同ホテル泊。 
147,Shinzo_Abe,5月26日・27日,2013-05-27,（現地時間）〈26日〉　朝　政府専用機でヤンゴン国際空港発。ネピドー国際空港着。　午前　大統領官邸で歓迎式典。テイン・セイン大統領と会談。日ミャンマー官民会合。　昼　交換公文署名式。大統領と共同記者会見。　午後　国際会議場で大統領主催の昼食会。政府専用機でネピドー国際空港発。ヤンゴン国際空港着。同空港発。（日本時間）〈27日〉▽0時36分　羽田空港着。▽1時16分　富ケ谷の私邸着。 
166,Shinzo_Abe,6月15日,2013-06-16,▽10時6分　富ケ谷の私邸発。▽10時25分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽13時55分　羽田空港で報道各社のインタビュー。▽14時20分　ポーランド、英国、アイルランドの欧州3カ国歴訪のため政府専用機で同空港発。（現地時間）　夜　ポーランドのワルシャワ空港着。 
168,Shinzo_Abe,6月16日・17日,2013-06-18,（現地時間）〈16日〉　午後　ワルシャワ空港着。同行記者団と懇談。政府専用機で同空港発。英国・北アイルランドのベルファスト国際空港着。ベルファスト市内の「ヒルトン・ベルファスト・ホテル」泊。〈17日〉　午前　同ホテルで報道各社のインタビュー。ロックアーンのホテル「ロックアーン・リゾート」でキャメロン英首相。　午後　同ホテルでカナダのハーパー首相。主要8カ国（Ｇ8）首脳会議の公式歓迎行事。　夕　Ｇ8首脳会議第1セッション。 
170,Shinzo_Abe,6月18日・19日,2013-06-20,（現地時間）〈18日〉　夕　英国・北アイルランドのベルファスト市内のヒルトン・ベルファスト・ホテル着。　夜　博物館「タイタニック・ベルファスト」で北アイルランド日系企業関係者と交流会。同ホテルで日本テレビのインタビュー。内外記者会見。宿泊。〈19日〉　午前　政府専用機でベルファスト国際空港発。アイルランドのダブリン空港着。ダブリン市内のハーバートパークホテル着。大統領府でヒギンズ大統領夫妻。首相府でケニー首相。　昼　共同記者会見。　午後　アイルランドの経済関係者。ケニー首相主催の昼食会。同ホテル着。政府専用機で同空港発。　夕　ロンドン郊外のヒースロー空港着。 
171,Shinzo_Abe,6月19日・20日,2013-06-21,（現地時間）〈19日〉　夕　ロンドン金融街シティーのギルドホールで講演。　夜　政府専用機でロンドン郊外のヒースロー空港発。（日本時間）〈20日〉▽15時42分　羽田空港着。▽16時23分　皇居で帰国の記帳。▽16時58分　官邸で尾身幸次元財務相。▽18時34分　神田淡路町の複合ビル「ワテラス」前で街頭演説。▽19時14分　ホテルオークラの中国料理店「桃花林」で静岡新聞社の大石剛社長ら。加藤官房副長官が同席。▽21時8分　富ケ谷の私邸着。 
206,Shinzo_Abe,7月25日,2013-07-26,（日本時間）▽8時46分　富ケ谷の私邸発。▽9時25分　羽田空港で報道各社のインタビュー。この後、マレーシア、シンガポール、フィリピン3カ国歴訪のため政府専用機で同空港発。（現地時間）　午後　クアラルンプール国際空港着。プトラジャヤのマレーシア首相府で歓迎式典。ナジブ首相と会談。共同記者発表。　夜　プトラジャヤマリオットホテルで元日本留学生ら。首相公邸で同首相主催の晩さん会。同ホテルに宿泊。 
207,Shinzo_Abe,7月26日,2013-07-27,（現地時間）　午前　政府専用機でクアラルンプール国際空港発。シンガポール国際空港着。イスタナ宮殿で歓迎式典。トニー・タン大統領と会談。リー・シェンロン首相と会談。共同記者会見。　昼　同首相主催の昼食会。　午後　リッツ・カールトン・ホテルでバイデン米副大統領。外交・経済政策に関する講演。政府専用機でシンガポール国際空港発。　夜　フィリピンのニノイ・アキノ国際空港着。マニラ市内のインターコンチネンタルホテルで比日協会主催のレセプション。ホテル「ザ・ペニンシュラ・マニラ」泊。 
208,Shinzo_Abe,7月27日,2013-07-28,（現地時間）　午前　マニラ市内のリサール記念碑で献花。同市内のマラカニアン宮殿で歓迎式典。フィリピンのアキノ大統領。共同記者発表。　昼　大統領主催の昼食会。　午後　ホテル「ザ・ペニンシュラ・マニラ」で内外記者会見。政府専用機でニノイ・アキノ国際空港発。（日本時間）▽21時40分　羽田空港着。▽22時26分　富ケ谷の私邸着。 
235,Shinzo_Abe,8月24日,2013-08-25,（日本時間）▽9時19分　富ケ谷の私邸発。▽9時55分　羽田空港で報道各社のインタビュー。▽10時26分　バーレーン、クウェート、カタール、ジブチ4カ国歴訪のため政府専用機で同空港発。（現地時間）　午後　バーレーン国際空港着。ハリファ首相が出迎え。マナマ市内のホテル「ザ・リッツ・カールトン」着。グダイビヤ宮殿で歓迎式典。同首相に同行経済人を紹介。同首相と会談。同首相と官民協力の署名式に立ち会い。共同記者発表。 
236,Shinzo_Abe,8月24日・25日,2013-08-26,（現地時間）〈24日〉　夜　バーレーンのマナマ市内のグダイビヤ宮殿でハリファ首相主催の晩さん会。ホテル「ザ・リッツ・カールトン」着。宿泊。〈25日〉　午前　同ホテルで日バーレーン経済懇談会。ミラー米海軍第5艦隊司令官らと会談。　昼　マナマ郊外のサヒール宮殿でハマド国王と会談。同国王主催の昼食会。　午後　同ホテルでサルマン皇太子と電話。バーレーン国立博物館を視察。メイ文化相と懇談。同ホテルで日本人学校校長と懇談。現地でインターン中の宮城、福島両県の高等専門学校生と懇談。政府専用機でバーレーン国際空港発。クウェート国際空港着。 
238,Shinzo_Abe,8月26日・27日,2013-08-28,（現地時間）〈26日〉　夜　クウェート市内のバヤン宮殿でジャビル首相主催の晩さん会。宿泊。〈27日〉　午前　政府専用機でクウェート国際空港発。ジブチ国際空港着。　昼　市内の自衛隊拠点で隊員と懇談。視察。報道各社のインタビュー。　午後　大統領府でゲレ大統領と会談。日本大使公邸でフクザワ中学校校長と懇談。政府専用機で同空港発。　夜　カタールのドーハ国際空港着。 
240,Shinzo_Abe,8月28日、29日,2013-08-30,（現地時間）〈28日〉　夜　政府専用機でカタールのドーハ国際空港発。（日本時間）〈29日〉▽16時13分　羽田空港着。▽16時53分　皇居で帰国の記帳。▽17時21分　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽19時3分　富ケ谷の私邸着。 
246,Shinzo_Abe,9月4日,2013-09-05,（日本時間）▽9時16分　富ケ谷の私邸発。▽9時37分　官邸で北村情報官。続いて山口公明党代表。▽10時37分　報道各社のインタビュー。▽11時27分　ロシア、アルゼンチン訪問のため政府専用機で羽田空港発。（現地時間）　午後　ロシア・サンクトペテルブルクのプルコボ国際空港着。パークインプルコフスカヤホテルで同行記者団と懇談。　夜　キャメロン英首相と電話。 
248,Shinzo_Abe,9月5日・6日,2013-09-07,（現地時間）〈5日〉　夜　ロシア・サンクトペテルブルクのペテルゴフ大宮殿で韓国の朴槿恵大統領と立ち話。20カ国・地域（Ｇ20）首脳会議の夕食会。政府専用機でプルコボ国際空港発。〈6日〉　未明　給油のため米ボストンのローガン国際空港着。同空港発。 
249,Shinzo_Abe,9月6日・7日,2013-09-08,（現地時間）〈6日〉　午後　政府専用機でアルゼンチンのエセイサ国際空港着。ブエノスアイレスのヒルトン・ブエノスアイレス・ホテルで国際オリンピック委員会（ＩＯＣ）委員と面談。　夜　コロン劇場でＩＯＣ総会開会式。レセプション。ヒルトン・ブエノスアイレス・ホテルでＩＯＣ委員と面談。エンペラドール・ホテル・ブエノスアイレス着。宿泊。〈7日〉　午前　報道各社のインタビュー。市内の大学で五輪招致プレゼンテーションのリハーサル。ヒルトン・ブエノスアイレス・ホテルでプレゼンテーション。東京招致委員会の記者会見。 
250,Shinzo_Abe,9月7日・8日・9日,2013-09-10,（現地時間）〈7日〉　午後　アルゼンチン・ブエノスアイレスのエンペラドール・ホテル・ブエノスアイレスで亜日文化財団関係者、在アルゼンチン山口県人会。ヒルトン・ブエノスアイレス・ホテル着。　夕　国際オリンピック委員会（ＩＯＣ）総会の開催都市発表式。報道各社のインタビュー。　夜　ＩＯＣ委員らと共同記者会見。エンペラドール・ホテルで内外記者会見。シェラトン・ブエノスアイレス・ホテル＆コンベンションセンターで東京都・東京五輪招致委員会主催の報告会。テレビ各局の番組に出演。〈8日〉　未明　政府専用機でエセイサ国際空港発。　午前　給油のためロサンゼルス国際空港着。同空港発。（日本時間）〈9日〉▽15時55分　羽田空港着。▽16時28分　皇居で帰国の記帳。▽16時52分　富ケ谷の私邸着。 
264,Shinzo_Abe,9月23日,2013-09-24,▽9時15分　富ケ谷の私邸発。▽9時30分　皇居で秋季皇霊祭・神殿祭の儀。▽11時35分　私邸着。▽16時47分　羽田空港で報道各社のインタビュー。▽17時17分　米国、カナダ訪問のため昭恵夫人とともに政府専用機で同空港発。 
265,Shinzo_Abe,9月23日・24日,2013-09-25,（現地時間）〈23日〉　夕　政府専用機でカナダ・オタワのマクドナルド・カルティエ国際空港着。テレビ局「ＣＴＶ」でインタビュー。　夜　連邦議会議事堂でキンセラ上院議長主催の夕食会。ホテル「フェアモント・シャトー・ローリエ」に宿泊。〈24日〉　午前　連邦議会議事堂で歓迎式典。ハーパー首相と会談。　昼　同首相主催の昼食会。 
266,Shinzo_Abe,9月24日・25日,2013-09-26,（現地時間）〈24日〉　午後　カナダ・オタワの連邦議会議事堂でハーパー首相と共同記者会見。総督邸でジョンストン総督。政府専用機でマクドナルド・カルティエ国際空港発。　夕　ニューヨークのケネディ国際空港着。　夜　ホテル「ランガム・プレイス」でオランド仏大統領。インターコンチネンタルホテルで同行記者団と懇談。ニューヨーク総領事公邸でオルブライト元米国務長官ら。同ホテルに宿泊。〈25日〉　午前　国連本部でビル・アンド・メリンダ・ゲイツ財団議長のビル・ゲイツ夫妻。国連ミレニアム開発目標（ＭＤＧｓ）の特別イベント。続いて潘基文国連事務総長。ニューヨーク市内のジャパン・ソサエティーでロックバンド「Ｕ2」のボノ氏。ポスト2015年開発目標と保健に関する関連行事。 
269,Shinzo_Abe,9月27日・28日,2013-09-29,（現地時間）〈27日〉　午後　政府専用機でニューヨークのケネディ国際空港発。（日本時間）〈28日〉▽16時50分　羽田空港着。▽17時44分　富ケ谷の私邸着。▽18時55分　牛尾治朗ウシオ電機会長ら。 
277,Shinzo_Abe,10月6日,2013-10-07,（日本時間）▽7時53分　宿泊先のグランドプリンスホテル京都発。▽7時57分　国立京都国際会館で山田京都府知事、門川京都市長、尾身元科技相ら。▽9時37分　ロシアのドゥボルコビッチ副首相。▽10時　「科学技術と人類の未来に関する国際フォーラム」開会式。▽12時25分　関西国際空港で報道各社のインタビュー。この後、アジア太平洋経済協力会議（ＡＰＥＣ）首脳会議などに出席のため、政府専用機で同空港発。（現地時間）　夜　インドネシア・バリ島のングラ・ライ国際空港着。ヌサドゥア・ビーチ・ホテルでインドネシアの経済団体関係者。宿泊。 
