,PM,date,publish_date,activities
1075,Shinzo_Abe,12月31日,2016-01-01,　午前中は宿泊先のグランドハイアット東京で過ごす。▽12時20分　同ホテルのイタリア料理店「フィオレンティーナ」で昭恵夫人、母の洋子さん。この後、同ホテル周辺を散歩。▽13時30分　同ホテルの「ＮＡＧＯＭＩスパアンドフィットネス」。▽15時14分　ＴＯＨＯシネマズ六本木ヒルズで昭恵夫人、母の洋子さんらと「スター・ウォーズ　フォースの覚醒」を鑑賞。▽18時30分　同ホテルのステーキ店「オークドア」で昭恵夫人、母の洋子さんら。宿泊。 
1436,Shinzo_Abe,1月3日,2017-01-04,▽11時8分　宿泊先のグランドハイアット東京周辺を昭恵夫人と散歩。▽11時52分　同ホテル着。▽16時28分　富ケ谷の私邸着。▽18時57分　ウェスティンホテル東京の日本料理店「舞」で昭恵夫人ら。▽21時19分　私邸着。 
1448,Shinzo_Abe,1月14日,2017-01-15,（現地時間）〈14日〉　午前　オーストラリア・シドニー市内の「ワトソンズ・ベイ」をオーストラリアのターンブル首相と散歩。ホテル「ヒルトン・シドニー」で日豪観光セミナー。ビジネス会合。　昼　ニューサウスウェールズ州のベアード首相。　午後　首相公邸でターンブル首相。署名式。共同記者発表。レセプション出席者出迎え。ビジネス関係代表者懇談。豪首相夫妻主催レセプション。首相夫妻と夕食。昭恵夫人が同席。「シャングリラ・ホテル」に宿泊。 
1793,Shinzo_Abe,1月3日,2018-01-04,　午前中は来客なく、静養先の東京・六本木のホテル「グランドハイアット東京」で過ごす。▽12時39分　同ホテル内の日本料理店「旬房」で昭恵夫人と食事。▽13時10分　昭恵夫人と同ホテル周辺を散歩。通行人と写真撮影。34分　グランドハイアット東京。▽15時22分　東京・富ケ谷の私邸。 
1832,Shinzo_Abe,2月12日,2018-02-13,▽10時54分　東京・富ケ谷の私邸周辺を散歩。▽11時59分　散歩中に会った小野寺防衛相と立ち話。▽12時20分　私邸。 
1838,Shinzo_Abe,2月18日,2018-02-19,▽10時43分　東京・富ケ谷の私邸周辺を散歩。▽12時15分　報道各社のインタビュー。散歩の感想を問われ「気持ちよかった」。16分　私邸。 
1853,Shinzo_Abe,3月4日,2018-03-05,▽10時38分　東京・富ケ谷の私邸周辺を散歩。歩行者らと記念撮影。▽12時14分　報道各社のインタビュー。15分　私邸。 
1881,Shinzo_Abe,4月1日,2018-04-02,　午前中は来客なく、東京・富ケ谷の私邸で過ごす。▽12時44分　私邸周辺を散歩。▽13時43分　報道各社のインタビュー。44分　私邸。▽14時22分　東京・渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」。散髪。▽16時12分　私邸。25分　谷口内閣官房参与。▽17時29分　谷口氏出る。 
1907,Shinzo_Abe,4月28日,2018-04-29,　午前中は来客なく、東京・富ケ谷の私邸で過ごす。▽13時36分　私邸周辺を散歩。▽14時14分　報道各社のインタビュー。15分　私邸。▽17時50分　東京・赤坂の赤坂氷川神社。ジャーナリストの桜井よしこ氏の親族の通夜に参列。▽18時19分　私邸。▽21時5分　公邸。▽22時33分　トランプ米大統領と電話。▽23時11分　報道各社のインタビュー。28分　私邸。 
2141,Shinzo_Abe,12月24日,2018-12-25,　午前中は来客なく、東京・富ケ谷の私邸で過ごす。▽13時32分　私邸周辺を散歩。▽14時49分　報道各社のインタビュー。50分　私邸。▽18時1分　東京・丸の内の鉄鋼ビルディング。南館内のエグゼクティブラウンジで増岡聡一郎鉄鋼ビルディング専務、昭恵夫人らと食事。▽22時17分　私邸。 
2150,Shinzo_Abe,1月3日,2019-01-04,▽11時12分　静養先の東京・六本木のホテル「グランドハイアット東京」内のレストラン「フィオレンティーナ」で昭恵夫人と昼食。▽12時1分　昭恵夫人と同ホテル周辺を散歩。16分　報道各社のインタビュー。17分　グランドハイアット東京。30分　同ホテル内の「ＮＡＧＯＭＩスパアンドフィットネス」で運動。▽16時53分　東京・富ケ谷の私邸。▽19時46分　麻生財務相。▽21時15分　財務相出る。 
2181,Shinzo_Abe,2月3日,2019-02-04,　午前中は来客なく、東京・富ケ谷の私邸で過ごす。▽12時33分　東京・神南の代々木公園や私邸周辺を散歩。▽14時11分　報道各社のインタビュー。12分　私邸。 
2194,Shinzo_Abe,2月17日,2019-02-18,　午前中は来客なく、東京・富ケ谷の私邸で過ごす。▽13時4分　昭恵夫人と私邸周辺を散歩。通行人と写真撮影。▽14時29分　報道各社のインタビュー。30分　私邸。 
2235,Shinzo_Abe,3月31日,2019-04-01,　午前中は来客なく、東京・富ケ谷の私邸で過ごす。▽12時33分　東京・目黒の駒場公園や私邸周辺を散歩。花見客と写真撮影。▽13時59分　報道各社のインタビュー。▽14時1分　私邸。27分　東京・渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」。散髪。▽16時27分　東京・上野公園の東京国立博物館。宮田文化庁長官ら出迎え。特別展「両陛下と文化交流―日本美を伝える―」を鑑賞。▽17時　報道各社のインタビュー。41分　私邸。 
2242,Shinzo_Abe,4月7日,2019-04-08,　午前中は来客なく、東京・富ケ谷の私邸で過ごす。▽12時27分　東京・駒場の駒場野公園や私邸周辺を散歩。▽13時29分　東京・神山町のコーヒー店「ＣＯＦＦＥＥ　ＳＵＰＲＥＭＥ　ＴＯＫＹＯ」。アイスコーヒーを購入。38分　報道各社のインタビュー。39分　私邸。▽16時55分　東京・永田町のザ・キャピトルホテル東急。中国料理店「星ケ岡」で昭恵夫人、義父の松崎昭雄氏ら親族と食事。▽19時38分　私邸。 
2501,Shinzo_Abe,12月31日,2020-01-01,▽11時34分　昭恵夫人と静養先の東京・六本木のホテル「グランドハイアット東京」周辺を散歩。通行人と写真撮影。57分　グランドハイアット東京。58分　レストラン「フィオレンティーナ」で昭恵夫人と昼食。▽13時11分　「ＮＡＧＯＭＩスパアンドフィットネス」で運動。▽17時58分　ステーキハウス「オークドア」で荒井参与夫妻、昭恵夫人、母親の洋子さんらと食事。同ホテルに宿泊。 
