,PM,date,publish_date,activities
10,Shinzo_Abe,1月6日,2013-01-07,　午前中は富ケ谷の私邸で過ごす。▽13時30分　すしチェーン店「すしざんまい」経営の木村清「喜代村」社長。▽13時55分　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽15時56分　私邸で麻生副総理。 
38,Shinzo_Abe,2月3日,2013-02-04,　午前中は富ケ谷の私邸で過ごす。▽12時56分　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽14時39分　私邸着。 
58,Shinzo_Abe,2月24日,2013-02-25,▽13時34分　政府専用機で羽田空港着。▽14時8分　富ケ谷の私邸着。▽15時25分　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽17時17分　私邸着。▽18時7分　上野公園の寛永寺輪王殿で熊倉貞武メディパルホールディングス会長の妻、故京子さんの通夜。▽18時40分　私邸着。 
78,Shinzo_Abe,3月16日,2013-03-17,　午前中は富ケ谷の私邸で過ごす。▽15時10分　党本部で参院選立候補予定者らに公認証渡し。▽15時44分　党青年部・青年局、女性局合同全国大会。続いて党全国幹事長会議。▽16時38分　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽18時38分　私邸着。 
100,Shinzo_Abe,4月7日,2013-04-08,　午前中は富ケ谷の私邸で過ごす。▽12時38分　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽14時12分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽17時55分　高輪のホテル「ザ・プリンスさくらタワー東京」の日本料理店「高輪　七軒茶屋」で昭恵夫人、米国留学時代の友人ら。▽21時1分　私邸着。 
119,Shinzo_Abe,4月27日,2013-04-28,▽10時45分　富ケ谷の私邸発。▽11時　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽12時47分　私邸着。▽13時50分　日比谷公会堂で「すべての拉致被害者を救出するぞ！国民大集会」。▽15時1分　公邸でトルコ国営放送のインタビュー。続いて中東の衛星テレビ「アルジャズィーラ」のインタビュー。▽16時13分　千葉市の幕張メッセで動画共有サイト「ニコニコ動画」のイベント。▽17時39分　東京ドームでダンスグループ「ＥＸＩＬＥ」のコンサート。下村文科相、杉良太郎日・ＡＳＥＡＮ特別大使が同席。▽20時29分　私邸着。 
138,Shinzo_Abe,5月17日,2013-05-18,▽7時54分　富ケ谷の私邸発。▽8時8分　官邸で岸田外相、下村文科相、河相外務次官。この後、閣議。▽9時30分　衆院経済産業委。▽11時42分　官邸でマウラー赤十字国際委員会総裁。▽12時3分　湯崎広島県知事。入れ替わりにカナダのシーア下院議長。▽12時53分　斎木外務審議官。▽13時30分　猪瀬東京都知事。▽14時　葛西敬之ＪＲ東海会長ら。続いて評論家の篠原文也氏による月刊誌「Ｖｏｉｃｅ」のインタビュー。篠原氏が残る。▽15時8分　インドのシャルマ商工相。▽16時37分　北村情報官。▽17時10分　総合科学技術会議。▽18時16分　ＡＮＡインターコンチネンタルホテル東京で「日本アカデメイア」交流会。この後、講演。▽20時20分　ホテルオークラでアーミテージ元米国務副長官ら。▽21時9分　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽22時17分　私邸着。 
161,Shinzo_Abe,6月9日、10日,2013-06-11,〈9日〉▽8時38分　富ケ谷の私邸発。▽9時　神南のＮＨＫで番組に出演。▽9時38分　私邸着。▽10時38分　帝国ホテルで伊吹衆院議長、児玉日本薬剤師会会長。▽11時　日本薬剤師会創立120周年記念式典。▽11時48分　ザ・キャピトルホテル東急のレストラン「ＯＲＩＧＡＭＩ」。▽12時50分　三田の春日神社前で街頭演説。▽13時8分　麻布十番の麻布十番商店街で街頭演説。▽13時51分　大井の阪急大井町ガーデン前で街頭演説。▽14時39分　小山の東急武蔵小山駅前で街頭演説。▽15時29分　桜新町の東急桜新町駅西口で街頭演説。▽16時24分　南烏山の烏山区民センター前広場で街頭演説。▽17時17分　太子堂のキャロットタワー前で街頭演説。▽17時45分　ＪＲ渋谷駅ハチ公前で街頭演説。▽18時23分　ヒルトン東京の「村儀理容室」で散髪。▽19時44分　私邸着。〈10日〉▽8時56分　私邸発。▽9時52分　羽田空港でスペイン訪問に出発される皇太子殿下のお見送り。▽11時16分　官邸で立石信雄オムロン特別顧問ら。この後、宗像内閣参与。▽12時2分　政府・与党連絡会議。麻生副総理が残る。▽13時10分　菅、加藤、世耕、杉田正副官房長官。▽14時5分　ジャーナリストの池上彰氏による月刊誌「文芸春秋」のインタビュー。▽15時22分　伊原外務省北米局長、徳地防衛省防衛政策局長。▽16時　福田山口銀行頭取ら。▽16時31分　党本部で地元会合向けのビデオメッセージ収録。この後、細田幹事長代行。▽17時4分　党役員会。続いて参院選立候補予定者に公認証を交付。高村副総裁、石破幹事長、河村選対委員長らが同席。▽17時48分　官邸で加藤副長官、外務省の河相次官、斎木外務審議官、上月欧州局長、農水省の針原食料産業局長。加藤副長官、次官、外務審議官、上月局長が残る。飯村政府代表が加わる。加藤副長官、次官、外務審議官、飯村政府代表が残る。▽18時39分　公邸で山際内閣府政務官ら各府省政務官と会食。官房長官ら同席。▽20時8分　ホテルニューオータニで青木拡憲ＡＯＫＩホールディングス会長、池森賢二ファンケル会長兼執行役員ら。官房長官、日本維新の会の山田国会議員団筆頭副幹事長が同席。▽21時15分　私邸着。 
178,Shinzo_Abe,6月27日,2013-06-28,▽9時29分　富ケ谷の私邸発。▽9時54分　官邸で河村選対委員長。▽10時55分　江渡防衛副大臣、徳地防衛省防衛政策局長。▽11時52分　岡崎久彦元駐タイ大使。▽13時18分　菅、加藤、世耕、杉田正副官房長官。加藤、世耕、杉田各副長官が残る。入れ替わりに高市政調会長。▽14時20分　外務省の河相次官、斎木外務審議官。続いて山本沖縄・北方相。▽15時17分　北村情報官。▽16時10分　松尾新吾九州経済連合会名誉会長ら。▽17時2分　福山正喜共同通信社社長。▽18時12分　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽19時53分　西新宿のホテル「パークハイアット東京」で丹呉、飯島内閣参与。▽21時40分　私邸着。 
205,Shinzo_Abe,7月24日,2013-07-25,▽9時41分　富ケ谷の私邸発。▽10時13分　官邸で杉山外務審議官、石黒経産審議官、石津国交審議官ら。外務審議官が残る。▽12時3分　斎木外務次官、山中文科次官。続いて船橋洋一日本再建イニシアティブ理事長、マイケル・グリーン米戦略国際問題研究所上級副所長。▽13時39分　野田税調会長。▽14時28分　麻生財務相、木下財務次官ら。財務相が残る。▽15時47分　金田勝年衆院議員ら。▽16時24分　平松外務省総合外交政策局長、徳地防衛省防衛政策局長。礒崎補佐官が同席。▽17時21分　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽19時2分　赤坂エクセルホテル東急内のレストラン「赤坂ジパング」で報道関係者。▽22時7分　私邸着。 
