,original,PM,date,publish_date,activities
1,"
7月14日（首相官邸）
2023/07/15 日本経済新聞　朝刊 4ページ 489文字 
その他の書誌情報を表示

▽12時32分　欧州での北大西洋条約機構（ＮＡＴＯ）首脳会議、欧州連合（ＥＵ）定期首脳協議出席を終え、裕子夫人と共に政府専用機で羽田空港。

▽13時10分　皇居。帰国の記帳。29分　官邸。

▽14時　後藤経財相、江島財務省関税局長、水野農水省輸出・国際局長、松尾経産省通商政策局長。35分　加藤厚労相、松野、木原、磯崎、栗生正副官房長官、経財相、藤井官房副長官補、中村新型コロナウイルス等感染症対策推進室長、厚労省の大島次官、迫井医務技監、榎本医政局長、大坪健康局長。49分　厚労相、松野、木原、磯崎、栗生正副官房長官、経財相、藤井副長官補、新型コロナウイルス等感染症対策推進室長、厚労省の次官、医務技監。

▽15時15分　新谷正義衆院議員。41分　ミリー米統合参謀本部議長の表敬。

▽16時7分　小倉少子化相、木原官房副長官、渡辺こども家庭庁長官。33分　松野、木原、磯崎、栗生正副官房長官、谷防災相、村田内閣危機管理監、高橋内閣府政策統括官、広瀬国交省水管理・国土保全局長、大林気象庁長官。

▽17時3分　秋葉国家安全保障局長、原内閣情報官。20分　内閣情報官。

▽18時27分　公邸。
 ",Fumio_Kishida,7月14日,2023/07/15,▽12時32分　欧州での北大西洋条約機構（ＮＡＴＯ）首脳会議、欧州連合（ＥＵ）定期首脳協議出席を終え、裕子夫人と共に政府専用機で羽田空港。▽13時10分　皇居。帰国の記帳。29分　官邸。▽14時　後藤経財相、江島財務省関税局長、水野農水省輸出・国際局長、松尾経産省通商政策局長。35分　加藤厚労相、松野、木原、磯崎、栗生正副官房長官、経財相、藤井官房副長官補、中村新型コロナウイルス等感染症対策推進室長、厚労省の大島次官、迫井医務技監、榎本医政局長、大坪健康局長。49分　厚労相、松野、木原、磯崎、栗生正副官房長官、経財相、藤井副長官補、新型コロナウイルス等感染症対策推進室長、厚労省の次官、医務技監。▽15時15分　新谷正義衆院議員。41分　ミリー米統合参謀本部議長の表敬。▽16時7分　小倉少子化相、木原官房副長官、渡辺こども家庭庁長官。33分　松野、木原、磯崎、栗生正副官房長官、谷防災相、村田内閣危機管理監、高橋内閣府政策統括官、広瀬国交省水管理・国土保全局長、大林気象庁長官。▽17時3分　秋葉国家安全保障局長、原内閣情報官。20分　内閣情報官。▽18時27分　公邸。 
2,"
7月12日・13日（首相官邸）
2023/07/14 日本経済新聞　朝刊 4ページ 222文字 
その他の書誌情報を表示

（現地時間）
〈12日〉
　午後　リトアニア・カウナスの杉原記念館訪問。カウナス国際空港で同行記者団のインタビュー。政府専用機で同空港を出発。ベルギー・ブリュッセル郊外のメルスブルク空軍基地。ブリュッセルの宿泊先のル・プラザ・ブリュッセル。

〈13日〉
　午前　ベルギーのデクロー首相と首相公邸で会談。

　午後　欧州連合（ＥＵ）本部でＥＵのミシェル大統領、フォンデアライエン欧州委員長と定期首脳協議。共同記者会見。政府専用機でメルスブルク空軍基地を出発。
 ",Fumio_Kishida,7月12日・13日,2023/07/14,（現地時間）〈12日〉　午後　リトアニア・カウナスの杉原記念館訪問。カウナス国際空港で同行記者団のインタビュー。政府専用機で同空港を出発。ベルギー・ブリュッセル郊外のメルスブルク空軍基地。ブリュッセルの宿泊先のル・プラザ・ブリュッセル。〈13日〉　午前　ベルギーのデクロー首相と首相公邸で会談。　午後　欧州連合（ＥＵ）本部でＥＵのミシェル大統領、フォンデアライエン欧州委員長と定期首脳協議。共同記者会見。政府専用機でメルスブルク空軍基地を出発。 
3,"
7月11・12日（首相官邸）
2023/07/13 日本経済新聞　朝刊 4ページ 457文字 
その他の書誌情報を表示

（現地時間）
〈11日〉
　午後　政府専用機でポーランドのワルシャワ・ショパン空港を出発。リトアニアのカウナス国際空港。宿泊先のビリニュス・グランド・リゾート。

〈12日〉
　午前　ビリニュス・グランド・リゾートで同行記者団のインタビュー。韓国の尹錫悦大統領、オーストラリアのアルバニージー首相、ニュージーランドのヒプキンス首相と4カ国首脳会合。展示場「ＬＩＴＥＸＰＯ」で北大西洋条約機構（ＮＡＴＯ）のストルテンベルグ事務総長と共同記者発表。会談。尹、アルバニージー、ヒプキンス、ストルテンベルグ各氏と写真撮影。ＮＡＴＯ首脳会議。レストランでリトアニアのシモニテ首相とワーキングランチ。

　午後　ビリニュス・グランド・リゾートで尹氏と会談。ヒプキンス氏と会談。ＬＩＴＥＸＰＯでスウェーデンのクリステション首相と会談。チェコのパベル大統領と会談。エストニアのカラス首相、ラトビアのカリンシュ首相、シモニテ氏と日バルト首脳会合。ウクライナ支援に関する主要7カ国（Ｇ7）首脳の共同宣言発表式典。リトアニアのナウセーダ大統領と会談。
 ",Fumio_Kishida,7月11・12日,2023/07/13,（現地時間）〈11日〉　午後　政府専用機でポーランドのワルシャワ・ショパン空港を出発。リトアニアのカウナス国際空港。宿泊先のビリニュス・グランド・リゾート。〈12日〉　午前　ビリニュス・グランド・リゾートで同行記者団のインタビュー。韓国の尹錫悦大統領、オーストラリアのアルバニージー首相、ニュージーランドのヒプキンス首相と4カ国首脳会合。展示場「ＬＩＴＥＸＰＯ」で北大西洋条約機構（ＮＡＴＯ）のストルテンベルグ事務総長と共同記者発表。会談。尹、アルバニージー、ヒプキンス、ストルテンベルグ各氏と写真撮影。ＮＡＴＯ首脳会議。レストランでリトアニアのシモニテ首相とワーキングランチ。　午後　ビリニュス・グランド・リゾートで尹氏と会談。ヒプキンス氏と会談。ＬＩＴＥＸＰＯでスウェーデンのクリステション首相と会談。チェコのパベル大統領と会談。エストニアのカラス首相、ラトビアのカリンシュ首相、シモニテ氏と日バルト首脳会合。ウクライナ支援に関する主要7カ国（Ｇ7）首脳の共同宣言発表式典。リトアニアのナウセーダ大統領と会談。 
4,"
7月11日（首相官邸）
2023/07/12 日本経済新聞　朝刊 4ページ 198文字 
その他の書誌情報を表示

▽6時30分　公邸で村田内閣危機管理監、高橋内閣府政策統括官、広瀬国交省水管理・国土保全局長、大林気象庁長官。44分　報道各社のインタビュー。

▽7時9分　羽田空港。34分　北大西洋条約機構（ＮＡＴＯ）首脳会議と欧州連合（ＥＵ）定期首脳協議出席のため、裕子夫人と共に政府専用機で欧州に向け出発。

　　　　　　（現地時間）
　午後　ポーランドのワルシャワ・ショパン空港。首相府でモラウィエツキ首相と会談。
 ",Fumio_Kishida,7月11日,2023/07/12,▽6時30分　公邸で村田内閣危機管理監、高橋内閣府政策統括官、広瀬国交省水管理・国土保全局長、大林気象庁長官。44分　報道各社のインタビュー。▽7時9分　羽田空港。34分　北大西洋条約機構（ＮＡＴＯ）首脳会議と欧州連合（ＥＵ）定期首脳協議出席のため、裕子夫人と共に政府専用機で欧州に向け出発。　　　　　　（現地時間）　午後　ポーランドのワルシャワ・ショパン空港。首相府でモラウィエツキ首相と会談。 
5,"
7月9、10日（首相官邸）
2023/07/11 日本経済新聞　朝刊 4ページ 912文字 
その他の書誌情報を表示

〈9日〉
▽9時22分　広島市南区の自宅発。39分　広島県海田町のイベント会場「サンピア・アキ」。41分　同県の自治体関係者から大雨の状況報告。

▽10時　選挙区引き継ぎ説明会に出席し、あいさつ。57分　県庁。

▽11時1分　Ｇ7広島サミットの開催協力感謝状贈呈式。36分　広島サミットの学生ボランティアらと懇談。

▽12時30分　広島市中区のリーガロイヤルホテル広島。宴会場「瀬戸」で湯崎英彦県知事から大雨の状況報告。知事ら広島サミット地元関係者と昼食会。

▽14時19分　広島空港。

▽16時48分　全日空680便で羽田空港。

▽17時28分　公邸。

〈10日〉
▽9時38分　公邸から官邸。

▽10時　青木一彦参院議員。21分　木原官房副長官、金融庁の栗田長官、堀本政策立案総括審議官。53分　磯崎官房副長官、秋葉国家安全保障局長、外務省の山田、小野両外務審議官、中込欧州局長、鯰経済局長、神田財務官、小川農水審議官、保坂経産審議官、岡防衛審議官。

▽11時45分　国家安全保障局長、外務省の両外務審議官、欧州局長、経済局長、経産審議官。

▽13時35分　木原、磯崎、栗生各官房副長官、村田内閣危機管理監、高橋内閣府政策統括官、広瀬国交省水管理・国土保全局長、大林気象庁長官。

▽14時　米投資ファンド「コールバーグ・クラビス・ロバーツ」（ＫＫＲ）のジョー・ベイ共同最高経営責任者（ＣＥＯ）。37分　国家安全保障局長、外務省の森次官、海部軍縮不拡散・科学部長、船越アジア大洋州局長。59分　国家安全保障局長、外務省の山田外務審議官、長岡中東アフリカ局長。

▽15時21分　木原副長官、国家安全保障局長、外務省の山田外務審議官、中東アフリカ局長、財務官、農水審議官、経産審議官、防衛審議官。

▽17時4分　原内閣情報官。34分　松野、木原、磯崎、栗生正副官房長官、谷防災相、内閣危機管理監、高橋内閣府政策統括官、国交省水管理・国土保全局長、気象庁長官。50分　三木谷浩史新経済連盟代表理事。

▽18時24分　報道各社のインタビュー。36分　東京・六本木の「ステーキハウスハマ　六本木本店」。世耕参院幹事長、野上参院国対委員長と会食。

▽21時5分　公邸。
 ",Fumio_Kishida,7月9、10日,2023/07/11,〈9日〉▽9時22分　広島市南区の自宅発。39分　広島県海田町のイベント会場「サンピア・アキ」。41分　同県の自治体関係者から大雨の状況報告。▽10時　選挙区引き継ぎ説明会に出席し、あいさつ。57分　県庁。▽11時1分　Ｇ7広島サミットの開催協力感謝状贈呈式。36分　広島サミットの学生ボランティアらと懇談。▽12時30分　広島市中区のリーガロイヤルホテル広島。宴会場「瀬戸」で湯崎英彦県知事から大雨の状況報告。知事ら広島サミット地元関係者と昼食会。▽14時19分　広島空港。▽16時48分　全日空680便で羽田空港。▽17時28分　公邸。〈10日〉▽9時38分　公邸から官邸。▽10時　青木一彦参院議員。21分　木原官房副長官、金融庁の栗田長官、堀本政策立案総括審議官。53分　磯崎官房副長官、秋葉国家安全保障局長、外務省の山田、小野両外務審議官、中込欧州局長、鯰経済局長、神田財務官、小川農水審議官、保坂経産審議官、岡防衛審議官。▽11時45分　国家安全保障局長、外務省の両外務審議官、欧州局長、経済局長、経産審議官。▽13時35分　木原、磯崎、栗生各官房副長官、村田内閣危機管理監、高橋内閣府政策統括官、広瀬国交省水管理・国土保全局長、大林気象庁長官。▽14時　米投資ファンド「コールバーグ・クラビス・ロバーツ」（ＫＫＲ）のジョー・ベイ共同最高経営責任者（ＣＥＯ）。37分　国家安全保障局長、外務省の森次官、海部軍縮不拡散・科学部長、船越アジア大洋州局長。59分　国家安全保障局長、外務省の山田外務審議官、長岡中東アフリカ局長。▽15時21分　木原副長官、国家安全保障局長、外務省の山田外務審議官、中東アフリカ局長、財務官、農水審議官、経産審議官、防衛審議官。▽17時4分　原内閣情報官。34分　松野、木原、磯崎、栗生正副官房長官、谷防災相、内閣危機管理監、高橋内閣府政策統括官、国交省水管理・国土保全局長、気象庁長官。50分　三木谷浩史新経済連盟代表理事。▽18時24分　報道各社のインタビュー。36分　東京・六本木の「ステーキハウスハマ　六本木本店」。世耕参院幹事長、野上参院国対委員長と会食。▽21時5分　公邸。 
6,"
7月8日（首相官邸）
2023/07/09 日本経済新聞　朝刊 5ページ 301文字 
その他の書誌情報を表示

▽10時43分　公邸発。53分　東京・芝公園の増上寺。故安倍晋三元首相の一周忌法要。

▽11時14分　東京・芝公園のホテル「ザ・プリンスパークタワー東京」。宴会場「コンベンションホール」で故安倍元首相をしのぶ食事会に出席し、あいさつ。

▽12時51分　公邸。

▽14時23分　東京・元赤坂の明治記念館。27分　故安倍元首相の昭恵夫人。

▽15時4分　宴会場「富士の間」で「安倍晋三元総理の志を継承する集い」に出席し、あいさつ。22分　公邸。47分　東京・鍛冶町の「ヘア　モード　キクチ神田日銀通り店」。散髪。

▽17時51分　羽田空港。

▽19時30分　全日空683便で広島空港。

▽20時29分　広島市南区の自宅。
 ",Fumio_Kishida,7月8日,2023/07/09,▽10時43分　公邸発。53分　東京・芝公園の増上寺。故安倍晋三元首相の一周忌法要。▽11時14分　東京・芝公園のホテル「ザ・プリンスパークタワー東京」。宴会場「コンベンションホール」で故安倍元首相をしのぶ食事会に出席し、あいさつ。▽12時51分　公邸。▽14時23分　東京・元赤坂の明治記念館。27分　故安倍元首相の昭恵夫人。▽15時4分　宴会場「富士の間」で「安倍晋三元総理の志を継承する集い」に出席し、あいさつ。22分　公邸。47分　東京・鍛冶町の「ヘア　モード　キクチ神田日銀通り店」。散髪。▽17時51分　羽田空港。▽19時30分　全日空683便で広島空港。▽20時29分　広島市南区の自宅。 
7,"
7月7日（首相官邸）
2023/07/08 日本経済新聞　朝刊 4ページ 544文字 
その他の書誌情報を表示

▽8時55分　公邸発。59分　東京・紀尾井町のホテルニューオータニ。宴会場「芙蓉の間」で東南アジア諸国連合（ＡＳＥＡＮ）・主要7カ国（Ｇ7）司法相特別対話開会式に出席し、あいさつ。

▽9時19分　官邸。28分　西村経産相、岡田万博相、清水国交政務官、栗生官房副長官、森昌文補佐官、飯田経産次官、国交省の和田次官、塩見不動産・建設経済局長。

▽10時2分　閣議。30分　秋葉国家安全保障局長、原内閣情報官、市川外務省総合外交政策局長、防衛省の増田防衛政策局長、吉田統合幕僚長。

▽11時25分　木原官房副長官、国家安全保障局長、外務省の山田外務審議官、長岡中東アフリカ局長、保坂経産審議官。

▽12時2分　政府・与党連絡会議。

▽15時5分　国家安全保障局長、外務省の山田外務審議官、中込欧州局長。59分　国家安全保障局長、外務省の山田外務審議官、船越アジア大洋州局長、神田財務官、経産審議官。

▽17時1分　国家安全保障局長、内閣情報官。17分　内閣情報官。

▽18時4分　報道各社のインタビュー。15分　東京・永田町のザ・キャピトルホテル東急。日本料理店「水簾」で令和国民会議（令和臨調）共同代表の茂木友三郎キッコーマン名誉会長、佐々木毅元東大学長らと会食。木原官房副長官同席。

▽20時18分　公邸。
 ",Fumio_Kishida,7月7日,2023/07/08,▽8時55分　公邸発。59分　東京・紀尾井町のホテルニューオータニ。宴会場「芙蓉の間」で東南アジア諸国連合（ＡＳＥＡＮ）・主要7カ国（Ｇ7）司法相特別対話開会式に出席し、あいさつ。▽9時19分　官邸。28分　西村経産相、岡田万博相、清水国交政務官、栗生官房副長官、森昌文補佐官、飯田経産次官、国交省の和田次官、塩見不動産・建設経済局長。▽10時2分　閣議。30分　秋葉国家安全保障局長、原内閣情報官、市川外務省総合外交政策局長、防衛省の増田防衛政策局長、吉田統合幕僚長。▽11時25分　木原官房副長官、国家安全保障局長、外務省の山田外務審議官、長岡中東アフリカ局長、保坂経産審議官。▽12時2分　政府・与党連絡会議。▽15時5分　国家安全保障局長、外務省の山田外務審議官、中込欧州局長。59分　国家安全保障局長、外務省の山田外務審議官、船越アジア大洋州局長、神田財務官、経産審議官。▽17時1分　国家安全保障局長、内閣情報官。17分　内閣情報官。▽18時4分　報道各社のインタビュー。15分　東京・永田町のザ・キャピトルホテル東急。日本料理店「水簾」で令和国民会議（令和臨調）共同代表の茂木友三郎キッコーマン名誉会長、佐々木毅元東大学長らと会食。木原官房副長官同席。▽20時18分　公邸。 
8,"
7月6日（首相官邸）
2023/07/07 日本経済新聞　朝刊 4ページ 452文字 
その他の書誌情報を表示

▽9時15分　公邸から官邸。

▽10時　経産省の飯田、多田新旧次官、保坂、平井新旧経産審議官、村瀬新資源エネルギー庁長官、須藤、角野新旧中小企業庁長官、松沢、小野新旧環境省地球環境審議官、防衛省の鈴木次官、増田次期次官、岡防衛審議官、芹沢次期防衛審議官、防衛装備庁の土本長官、深沢次期長官と省庁ごとに面会。

▽11時58分　東京都新宿区の堺屋太一記念東京芸術大学美術愛住館。「堺屋コレクション展」を鑑賞。故堺屋太一氏の妻池口史子さん、日比野克彦東京芸術大学長、山本有二元農相同行。

▽12時43分　官邸。

▽14時　秋葉国家安全保障局長。13分　磯崎官房副長官、国家安全保障局長、外務省の山田外務審議官、中込欧州局長、鯰経済局長。41分　国家安全保障局長。

▽15時7分　消費財業界団体「ザ・コンシューマー・グッズ・フォーラム」の松川剛日本・アジア太平洋地域ゼネラルマネジャー。

▽16時40分　中泉松司元参院議員。

▽17時20分　産経新聞のインタビュー。

▽18時9分　トルコのエルドアン大統領と電話。38分　公邸。
 ",Fumio_Kishida,7月6日,2023/07/07,▽9時15分　公邸から官邸。▽10時　経産省の飯田、多田新旧次官、保坂、平井新旧経産審議官、村瀬新資源エネルギー庁長官、須藤、角野新旧中小企業庁長官、松沢、小野新旧環境省地球環境審議官、防衛省の鈴木次官、増田次期次官、岡防衛審議官、芹沢次期防衛審議官、防衛装備庁の土本長官、深沢次期長官と省庁ごとに面会。▽11時58分　東京都新宿区の堺屋太一記念東京芸術大学美術愛住館。「堺屋コレクション展」を鑑賞。故堺屋太一氏の妻池口史子さん、日比野克彦東京芸術大学長、山本有二元農相同行。▽12時43分　官邸。▽14時　秋葉国家安全保障局長。13分　磯崎官房副長官、国家安全保障局長、外務省の山田外務審議官、中込欧州局長、鯰経済局長。41分　国家安全保障局長。▽15時7分　消費財業界団体「ザ・コンシューマー・グッズ・フォーラム」の松川剛日本・アジア太平洋地域ゼネラルマネジャー。▽16時40分　中泉松司元参院議員。▽17時20分　産経新聞のインタビュー。▽18時9分　トルコのエルドアン大統領と電話。38分　公邸。 
9,"
7月5日（首相官邸）
2023/07/06 日本経済新聞　朝刊 4ページ 450文字 
その他の書誌情報を表示

▽9時54分　公邸から官邸。55分　土生、吉川現・次期デジタル田園都市国家構想実現会議事務局長、赤石、二宮現・次期デジタル審議官、角田、石田新旧復興庁次官、金融庁の栗田、中島新旧長官、天谷前金融国際審議官、総務省の山下、内藤現・次期次官、堀江次期総務審議官、前田、原現・次期消防庁長官、財務省の茶谷次官、神田財務官、住沢、阪田新旧国税庁長官、厚労省の迫井、福島新旧医務技監、田中、小林新旧厚労審議官、青山、織田新旧林野庁長官、森、神谷新旧水産庁長官、国交省の和田、藤井新旧次官、榊新国交審議官、林、上原現・次期国交審議官、高橋、和田新旧観光庁長官と省庁ごとに面会。

▽11時　新納啓介日本損害保険協会会長。41分　土志田領司全国中小建設業協会会長。

▽14時2分　北朝鮮による拉致被害者の曽我ひとみさん、渡辺竜五佐渡市長と面会。要望書受け取り。松野拉致問題相、福本拉致問題対策本部事務局長同席。

▽16時30分　辻清人衆院議員。

▽17時15分　山田外務審議官、増田防衛省防衛政策局長。

▽18時21分　公邸。
 ",Fumio_Kishida,7月5日,2023/07/06,▽9時54分　公邸から官邸。55分　土生、吉川現・次期デジタル田園都市国家構想実現会議事務局長、赤石、二宮現・次期デジタル審議官、角田、石田新旧復興庁次官、金融庁の栗田、中島新旧長官、天谷前金融国際審議官、総務省の山下、内藤現・次期次官、堀江次期総務審議官、前田、原現・次期消防庁長官、財務省の茶谷次官、神田財務官、住沢、阪田新旧国税庁長官、厚労省の迫井、福島新旧医務技監、田中、小林新旧厚労審議官、青山、織田新旧林野庁長官、森、神谷新旧水産庁長官、国交省の和田、藤井新旧次官、榊新国交審議官、林、上原現・次期国交審議官、高橋、和田新旧観光庁長官と省庁ごとに面会。▽11時　新納啓介日本損害保険協会会長。41分　土志田領司全国中小建設業協会会長。▽14時2分　北朝鮮による拉致被害者の曽我ひとみさん、渡辺竜五佐渡市長と面会。要望書受け取り。松野拉致問題相、福本拉致問題対策本部事務局長同席。▽16時30分　辻清人衆院議員。▽17時15分　山田外務審議官、増田防衛省防衛政策局長。▽18時21分　公邸。 
10,"
7月4日（首相官邸）
2023/07/05 日本経済新聞　朝刊 4ページ 535文字 
その他の書誌情報を表示

▽9時28分　公邸発。31分　党本部。32分　党役員会。47分　関口参院議員会長。54分　官邸。

▽10時1分　閣議。36分　宮沢税調会長。

▽11時25分　秋葉国家安全保障局長、外務省の森次官、船越アジア大洋州局長。41分　国家安全保障局長、外務省の次官、中込欧州局長。

▽12時14分　東京・本郷の東大安田講堂。17分　ソフトバンクグループの孫正義会長兼社長らと懇談。35分　シンポジウム「生成ＡＩが切り拓く未来と日本の展望」であいさつ、質疑応答。

▽13時18分　官邸。42分　シュワブ世界経済フォーラム会長の表敬。

▽14時2分　五條堀孝アブドラ国王科学技術大特別栄誉教授。上川幹事長代理同席。

▽15時　党本部。1分　麻生副総裁、茂木幹事長。49分　官邸。

▽16時14分　グロッシ国際原子力機関（ＩＡＥＡ）事務局長から東京電力福島第1原発処理水の安全性に関する報告書受け取り。林外相、西村経産相同席。

▽17時2分　国家安全保障局長、原内閣情報官。17分　内閣情報官。

▽18時6分　斉藤国交相、国交省の国土審議会の永野毅会長から国土形成計画案の報告。44分　報道各社のインタビュー。54分　東京・赤坂の日本料理店「赤坂梢」。元宿仁党本部事務総長と会食。

▽21時30分　公邸。
 ",Fumio_Kishida,7月4日,2023/07/05,▽9時28分　公邸発。31分　党本部。32分　党役員会。47分　関口参院議員会長。54分　官邸。▽10時1分　閣議。36分　宮沢税調会長。▽11時25分　秋葉国家安全保障局長、外務省の森次官、船越アジア大洋州局長。41分　国家安全保障局長、外務省の次官、中込欧州局長。▽12時14分　東京・本郷の東大安田講堂。17分　ソフトバンクグループの孫正義会長兼社長らと懇談。35分　シンポジウム「生成ＡＩが切り拓く未来と日本の展望」であいさつ、質疑応答。▽13時18分　官邸。42分　シュワブ世界経済フォーラム会長の表敬。▽14時2分　五條堀孝アブドラ国王科学技術大特別栄誉教授。上川幹事長代理同席。▽15時　党本部。1分　麻生副総裁、茂木幹事長。49分　官邸。▽16時14分　グロッシ国際原子力機関（ＩＡＥＡ）事務局長から東京電力福島第1原発処理水の安全性に関する報告書受け取り。林外相、西村経産相同席。▽17時2分　国家安全保障局長、原内閣情報官。17分　内閣情報官。▽18時6分　斉藤国交相、国交省の国土審議会の永野毅会長から国土形成計画案の報告。44分　報道各社のインタビュー。54分　東京・赤坂の日本料理店「赤坂梢」。元宿仁党本部事務総長と会食。▽21時30分　公邸。 
