date_est,year,month,day,year_month,yy_mm,yy_mmm,PM
2012-12-26,2012,12,26,201212,2012-12,2012-Dec,Shinzo_Abe
2012-12-27,2012,12,27,201212,2012-12,2012-Dec,Shinzo_Abe
2012-12-28,2012,12,28,201212,2012-12,2012-Dec,Shinzo_Abe
2012-12-29,2012,12,29,201212,2012-12,2012-Dec,Shinzo_Abe
2012-12-30,2012,12,30,201212,2012-12,2012-Dec,Shinzo_Abe
2012-12-31,2012,12,31,201212,2012-12,2012-Dec,Shinzo_Abe
2013-01-01,2013,1,1,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-02,2013,1,2,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-03,2013,1,3,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-04,2013,1,4,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-05,2013,1,5,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-06,2013,1,6,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-07,2013,1,7,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-08,2013,1,8,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-09,2013,1,9,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-10,2013,1,10,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-11,2013,1,11,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-12,2013,1,12,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-13,2013,1,13,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-14,2013,1,14,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-15,2013,1,15,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-16,2013,1,16,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-17,2013,1,17,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-18,2013,1,18,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-19,2013,1,19,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-20,2013,1,20,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-21,2013,1,21,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-22,2013,1,22,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-23,2013,1,23,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-24,2013,1,24,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-25,2013,1,25,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-26,2013,1,26,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-27,2013,1,27,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-28,2013,1,28,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-29,2013,1,29,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-30,2013,1,30,20131,2013-01,2013-Jan,Shinzo_Abe
2013-01-31,2013,1,31,20131,2013-01,2013-Jan,Shinzo_Abe
2013-02-01,2013,2,1,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-02,2013,2,2,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-03,2013,2,3,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-04,2013,2,4,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-05,2013,2,5,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-06,2013,2,6,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-07,2013,2,7,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-08,2013,2,8,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-09,2013,2,9,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-10,2013,2,10,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-11,2013,2,11,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-12,2013,2,12,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-13,2013,2,13,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-14,2013,2,14,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-15,2013,2,15,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-16,2013,2,16,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-17,2013,2,17,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-18,2013,2,18,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-19,2013,2,19,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-20,2013,2,20,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-21,2013,2,21,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-22,2013,2,22,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-23,2013,2,23,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-24,2013,2,24,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-25,2013,2,25,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-26,2013,2,26,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-27,2013,2,27,20132,2013-02,2013-Feb,Shinzo_Abe
2013-02-28,2013,2,28,20132,2013-02,2013-Feb,Shinzo_Abe
2013-03-01,2013,3,1,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-02,2013,3,2,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-03,2013,3,3,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-04,2013,3,4,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-05,2013,3,5,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-06,2013,3,6,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-07,2013,3,7,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-08,2013,3,8,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-09,2013,3,9,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-10,2013,3,10,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-11,2013,3,11,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-12,2013,3,12,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-13,2013,3,13,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-14,2013,3,14,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-15,2013,3,15,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-16,2013,3,16,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-17,2013,3,17,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-18,2013,3,18,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-19,2013,3,19,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-20,2013,3,20,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-21,2013,3,21,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-22,2013,3,22,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-23,2013,3,23,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-24,2013,3,24,20133,2013-03,2013-Mar,Shinzo_Abe
