date_est,year_month,year,month,day,year_month,yy_mm,yy_mmm,PM,haircut,walking,golf,massage,interview,air_force_one,date,activities
2012-12-26,201212.0,2012,12,26,201212.0,2012-12,2012-Dec,Shinzo_Abe,No,No,No,No,No,No,12月26日,〈26日〉▽18時22分　皇居で首相親任式、閣僚認証式。▽21時39分　官邸で記者会見。▽22時33分　閣僚に補職辞令交付。この後、初閣議。続いて記念撮影。▽23時26分　首相補佐官らに辞令交付。写真撮影。〈27日〉▽0時28分　私邸着。Nikkei Inc. No reproduction without permission.
2012-12-27,201212.0,2012,12,27,201212.0,2012-12,2012-Dec,Shinzo_Abe,No,No,No,No,No,No,12月27日,▽10時21分　官邸で菅官房長官、加藤官房副長官。▽11時29分　古屋拉致担当相、三谷拉致問題対策本部事務局長代理。▽13時2分　衆院本会議。▽13時35分　官邸で臨時閣議。この後、菅長官。▽15時　北村情報官。続いて外務省の河相次官、斎木、鶴岡両外務審議官、杉山アジア大洋州局長ら。河相次官、杉山局長が残る。▽16時23分　皇居で内奏、副大臣認証式。▽19時50分　官邸で副大臣と記念撮影。副大臣会議。▽20時27分　杉田官房副長官。▽20時51分　政務官に辞令交付。記念撮影。続いて政務官会合。▽22時14分　私邸着。 
2012-12-28,201212.0,2012,12,28,201212.0,2012-12,2012-Dec,Shinzo_Abe,No,No,No,No,No,No,12月28日,▽8時40分　富ケ谷の私邸発。▽9時1分　党本部で高村副総裁、石破幹事長。▽9時34分　官邸で閣議。続いて森少子化相。入れ替わりに稲田行革相。▽10時2分　岡村日本商工会議所会頭。▽11時　参院本会議場で特別国会開会式。▽11時33分　官邸で事務次官連絡会議。▽12時11分　拉致被害者家族会の飯塚繁雄代表ら。菅官房長官、古屋拉致問題相らが同席。▽13時38分　桂宮邸で首相就任の記帳。この後、常陸宮邸、秋篠宮邸、寛仁親王邸、三笠宮邸、高円宮邸、東宮御所で記帳。▽15時57分　官邸で全国農業協同組合中央会の万歳会長。▽16時35分　インドネシアのユドヨノ大統領と電話。▽17時　ロシアのプーチン大統領、キャメロン英首相、オーストラリアのギラード首相と電話。▽17時58分　麻生財務相。財務省の真砂次官、木下主計局長が同席。▽19時　ベトナムのズン首相と電話。続いて内閣記者会との懇談会。▽20時15分　インドのシン首相と電話。▽20時41分　赤坂の中華料理店「赤坂飯店」で首相秘書官ら。▽22時　南麻布の知人宅で知人の誕生会。▽22時44分　私邸着。 
2012-12-29,201212.0,2012,12,29,201212.0,2012-12,2012-Dec,Shinzo_Abe,No,No,No,No,YES!,No,12月29日,▽6時6分　富ケ谷の私邸発。▽6時40分　やまびこ203号でＪＲ東京駅発。▽8時19分　ＪＲ郡山駅着。根本復興相が同行。▽9時45分　福島県楢葉町の福島原発の事故対応拠点「Ｊヴィレッジ」で作業員を激励。▽10時58分　大熊、双葉両町の福島第1原発着。免震重要棟で作業員を激励。▽11時41分　車中から福島第1原発構内を視察。▽12時59分　Ｊヴィレッジ着。▽14時18分　川内村の仮設住宅入居者支援施設「五社の杜サポートセンター」前で村民らと面会。森少子化相、佐藤福島県知事らが同行。▽14時27分　同村の金属加工会社「菊池製作所　川内村工場」を視察。▽14時42分　同村のコンビニエンスストア「ファミリーマート川内村店」を視察、買い物。▽14時49分　同村の植物工場「川内高原農産物栽培工場」で試験栽培場を視察。続いて報道各社のインタビュー。▽16時35分　郡山市の若宮前仮設住宅で入居者と意見交換。▽17時32分　ＪＲ郡山駅で荒井新党改革幹事長。▽18時1分　やまびこ152号で同駅発。▽19時28分　ＪＲ東京駅着。▽19時48分　私邸着。 
2012-12-30,201212.0,2012,12,30,201212.0,2012-12,2012-Dec,Shinzo_Abe,No,No,No,No,YES!,No,12月30日,　午前中は富ケ谷の私邸で過ごす。▽13時　官邸でＴＢＳのインタビュー。▽14時20分　産経新聞のインタビュー。▽15時　北村情報官。続いて中国新聞のインタビュー。▽16時　菅官房長官。▽17時2分　私邸着。 
2012-12-31,201212.0,2012,12,31,201212.0,2012-12,2012-Dec,Shinzo_Abe,No,No,No,No,No,No,12月31日,　午前中は富ケ谷の私邸で過ごす。▽12時44分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽16時44分　私邸着。 
2013-01-01,20131.0,2013,1,1,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,No,No,,
2013-01-02,20131.0,2013,1,2,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,No,No,1月1日・2日,〈1日〉▽10時31分　皇居で新年祝賀の儀。昭恵夫人が同席。▽11時32分　富ケ谷の私邸着。▽12時44分　額賀元財務相。▽14時42分　塩崎政調会長代理。続いて麻生副総理。〈2日〉▽10時18分　グランドハイアット東京着。▽14時50分　六本木の「ＴＯＨＯシネマズ六本木ヒルズ」で昭恵夫人らと映画「レ・ミゼラブル」を鑑賞。▽17時53分　グランドハイアット東京着。宿泊。 
2013-01-03,20131.0,2013,1,3,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,YES!,No,No,No,1月3日,▽8時2分　千葉県市原市の森永高滝カントリー倶楽部で親族らとゴルフ。▽16時　グランドハイアット東京着。宿泊。 
2013-01-04,20131.0,2013,1,4,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,No,No,1月4日,▽9時9分　ＪＲ東京駅で下村文科相、菅官房長官、甘利経済再生相。▽9時11分　のぞみ19号で同駅発。車内で文科相。この後、山本沖縄・北方相。▽10時51分　ＪＲ名古屋駅着。▽10時58分　近鉄名古屋駅の貴賓室で大村愛知県知事。▽11時10分　近鉄特急で同駅発。加藤官房副長官が同行。▽12時33分　近鉄宇治山田駅着。鈴木三重県知事らが出迎え。▽12時42分　三重県伊勢市の伊勢神宮着。外宮を参拝。谷垣法相、田村厚労相、茂木経産相らが同行。▽13時12分　内宮を参拝。神楽殿で神楽奉納。▽14時19分　神宮司庁前でボーイスカウト日本連盟伊勢第7団、ガールスカウト日本連盟三重県第1団による花束贈呈、記念撮影。▽14時45分　年頭記者会見。▽15時53分　近鉄特急で近鉄宇治山田駅発。車内で加藤副長官。▽17時17分　近鉄名古屋駅着。▽17時42分　のぞみ378号でＪＲ名古屋駅発。車内で古屋国家公安委員長。続いて稲田行革相。▽19時20分　ＪＲ東京駅着。▽19時42分　私邸着。 
