date_est,year_month,year,month,day,year_month,yy_mm,yy_mmm,PM,haircut,walking,golf,massage,interview,air_force_one,date,activities
2020-09-16,20209.0,2020,9,16,20209.0,2020-09,2020-Sep,Yoshihide_Suga,No,No,No,No,No,No,9月16日,▽13時50分　安倍前首相。▽14時15分　衆院の正副議長、議運委員長、与野党各会派にあいさつ回り。森山国対委員長同行。34分　参院の正副議長、議運委員長、与野党各会派にあいさつ回り。世耕参院幹事長同行。58分　官邸。▽15時1分　加藤官房長官、坂井、岡田両官房副長官。29分　山口那津男公明党代表と与党党首会談。官房長官、二階幹事長、斉藤鉄夫公明党幹事長同席。37分　組閣本部設置。50分　新閣僚の呼び込み。▽17時42分　皇居。内奏、首相任命式、閣僚認証式。▽20時25分　官邸。▽21時　記者会見。32分　各閣僚に補職辞令交付。46分　初閣議。▽22時18分　閣僚と記念撮影。24分　首相補佐官らに辞令交付。29分　首相補佐官らと記念撮影。▽23時19分　東京・赤坂の衆院議員宿舎。Nikkei Inc. No reproduction without permission.
2020-09-17,20209.0,2020,9,17,20209.0,2020-09,2020-Sep,Yoshihide_Suga,No,YES!,No,No,YES!,No,9月17日,▽6時38分　東京・赤坂の衆院議員宿舎発。42分　官邸。官邸の敷地内を散歩。▽7時25分　東京・永田町のザ・キャピトルホテル東急。レストラン「ＯＲＩＧＡＭＩ」で選挙プランナーの三浦博史氏と会食。▽8時39分　官邸。40分　報道各社のインタビュー。▽10時13分　東京・三番町の宮内庁分庁舎。就任の記帳。26分　東京・元赤坂の赤坂御用地。秋篠宮邸、三笠宮東邸、三笠宮邸、高円宮邸。就任の記帳。58分　東京・東の常陸宮邸。就任の記帳。▽11時11分　衆院第2議員会館。25分　党沖縄県議らから要請書受け取り。31分　官邸。▽12時39分　国会。▽13時1分　第202臨時国会開会式。12分　官邸。42分　北村国家安全保障局長。▽14時　木原補佐官。28分　森田健作千葉県知事。52分　河野行革相。▽15時22分　平井デジタル相。44分　田村厚労相。▽18時32分　ザ・キャピトルホテル東急。レストラン「ＯＲＩＧＡＭＩ」で秘書官と食事。▽19時57分　衆院第2議員会館。▽20時29分　東京・赤坂の衆院議員宿舎。 
2020-09-18,20209.0,2020,9,18,20209.0,2020-09,2020-Sep,Yoshihide_Suga,No,YES!,No,No,No,No,9月18日,▽6時41分　東京・赤坂の衆院議員宿舎発。44分　官邸。官邸の敷地内を散歩。▽7時25分　東京・虎ノ門のホテル「Ｔｈｅ　Ｏｋｕｒａ　Ｔｏｋｙｏ」。26分　レストラン「オーキッド」で竹中平蔵慶応大名誉教授と朝食。▽8時46分　官邸。▽10時26分　武田総務相。▽11時　藤井官房副長官補、和泉補佐官、厚労省の樽見次官、福島医務技監。49分　次官連絡会議に出席し、あいさつ。▽14時3分　閣議。12分　井上万博相。25分　萩生田文科相。▽15時59分　衆院第2議員会館。▽16時28分　官邸。▽17時8分　滝沢内閣情報官。55分　皇居。内奏、副大臣認証式。▽20時4分　官邸。47分　副大臣と記念撮影。56分　副大臣会議に出席し、あいさつ。▽22時11分　政務官に辞令交付。25分　政務官と記念撮影。31分　政務官会合に出席し、あいさつ。52分　東京・赤坂の衆院議員宿舎。 
2020-09-19,20209.0,2020,9,19,20209.0,2020-09,2020-Sep,Yoshihide_Suga,No,YES!,No,No,No,No,9月19日,▽9時2分　東京・赤坂の衆院議員宿舎発。5分　官邸。官邸の敷地内を散歩。▽10時27分　国連総会向けのビデオ演説収録。48分　秋葉外務次官。▽12時3分　東京・永田町のザ・キャピトルホテル東急。レストラン「ＯＲＩＧＡＭＩ」で秘書官と食事。50分　衆院第2議員会館。53分　柴山昌彦前文科相。▽16時37分　ザ・キャピトルホテル東急。「ザ・キャピトル　フィットネスクラブ」で運動。▽19時18分　東京・赤坂の衆院議員宿舎。 
2020-09-20,20209.0,2020,9,20,20209.0,2020-09,2020-Sep,Yoshihide_Suga,No,YES!,No,No,YES!,No,9月20日,▽11時56分　東京・赤坂の衆院議員宿舎発。▽12時　官邸。官邸の敷地内を散歩。56分　東京・虎ノ門のホテル「Ｔｈｅ　Ｏｋｕｒａ　Ｔｏｋｙｏ」。レストラン「オーキッド」で村井純慶応大教授と会食。▽14時30分　ジャーナリストの田原総一朗氏。▽15時2分　高橋洋一嘉悦大教授。▽16時51分　東京・赤坂の衆院議員宿舎。▽19時　公邸。54分　オーストラリアのモリソン首相と電話。▽21時35分　トランプ米大統領と電話。▽22時9分　報道各社のインタビュー。16分　東京・赤坂の衆院議員宿舎。 
2020-09-21,20209.0,2020,9,21,20209.0,2020-09,2020-Sep,Yoshihide_Suga,No,YES!,No,No,YES!,No,9月21日,▽8時35分　東京・赤坂の衆院議員宿舎発。40分　官邸。官邸の敷地内を散歩。▽9時21分　東京・永田町のザ・キャピトルホテル東急。レストラン「ＯＲＩＧＡＭＩ」。22分　経済ジャーナリストの財部誠一氏。58分　大和総研の熊谷亮丸チーフエコノミスト。▽10時51分　金丸恭文フューチャー会長兼社長。▽11時39分　新浪剛史サントリーホールディングス社長と会食。▽12時31分　自民党の「不妊治療への支援拡充を目指す議員連盟」の和田政宗事務局長、杉山産婦人科の杉山力一理事長。▽14時29分　横浜市西区の久保山墓地。秘書を務めた故小此木彦三郎元衆院議員の墓参り。32分　報道各社のインタビュー。36分　墓地を管理する「太田茶屋」。知人らと写真撮影。▽15時30分　ザ・キャピトルホテル東急。57分　林内閣府政策統括官、竹森俊平慶応大教授。▽17時6分　東京・赤坂の衆院議員宿舎。 
2020-09-22,20209.0,2020,9,22,20209.0,2020-09,2020-Sep,Yoshihide_Suga,No,YES!,No,No,No,No,9月22日,▽9時25分　東京・赤坂の衆院議員宿舎発。34分　皇居。秋季皇霊祭・神殿祭の儀。▽10時53分　衆院第2議員会館。54分　梶山経産相。▽11時8分　加藤官房長官。▽12時36分　東京・赤坂の衆院議員宿舎。55分　東京・永田町のザ・キャピトルホテル東急。中国料理店「星ケ岡」で岡部信彦川崎市健康安全研究所長と会食。▽14時3分　衆院第2議員会館。26分　東京・赤坂の衆院議員宿舎。▽15時31分　官邸。官邸の敷地内を散歩。▽16時1分　公邸。56分　ドイツのメルケル首相と電話。▽17時45分　欧州連合（ＥＵ）のミシェル大統領と電話。▽18時19分　ザ・キャピトルホテル東急。日本料理店「水簾」で外務省の森、鈴木両外務審議官、宇山欧州局長と会食。▽20時6分　東京・赤坂の衆院議員宿舎。 
2020-09-23,20209.0,2020,9,23,20209.0,2020-09,2020-Sep,Yoshihide_Suga,No,YES!,No,No,YES!,No,9月23日,▽6時37分　東京・赤坂の衆院議員宿舎発。41分　官邸。官邸の敷地内を散歩。▽7時25分　東京・永田町のザ・キャピトルホテル東急。レストラン「ＯＲＩＧＡＭＩ」で森山国対委員長、林幹事長代理と会食。▽8時34分　官邸。▽10時3分　デジタル改革関係閣僚会議。36分　野上農相。52分　平沢復興相。▽11時14分　坂本地方創生相。▽12時2分　黒田東彦日銀総裁と昼食。▽13時31分　小池百合子東京都知事と東京五輪・パラリンピックについて意見交換。林幹事長代理同席。50分　石川拉致問題対策本部事務局長。▽14時26分　山本一太群馬県知事。▽15時30分　岸防衛相。53分　超党派の「病院船・災害時多目的支援船建造推進議員連盟」の衛藤征士郎会長、井上義久会長代理による申し入れ。▽16時10分　橋本五輪相、和泉補佐官、森外務審議官。21分　国際オリンピック委員会（ＩＯＣ）のバッハ会長と電話。五輪相同席。▽17時16分　ジョンソン英首相と電話。54分　滝沢内閣情報官。▽18時25分　報道各社のインタビュー。36分　東京・芝公園のホテル「ザ・プリンスパークタワー東京」。宴会場「スカイバンケット」で、総裁選の菅陣営選対本部長を務めた小此木防災相、事務総長を務めた山口選対委員長らと会食。▽19時30分　衆院第2議員会館。▽20時5分　ザ・キャピトルホテル東急。レストラン「ＯＲＩＧＡＭＩ」で秘書官と食事。50分　東京・赤坂の衆院議員宿舎。 
2020-09-24,20209.0,2020,9,24,20209.0,2020-09,2020-Sep,Yoshihide_Suga,No,YES!,No,No,YES!,No,9月24日,▽6時40分　東京・赤坂の衆院議員宿舎発。43分　官邸。官邸の敷地内を散歩。▽7時49分　国連のグテレス事務総長と電話。▽9時38分　西村経財相。44分　経財相、内閣府の山崎次官、田和内閣府審議官、林、籠宮両政策統括官。▽10時58分　韓国の文在寅大統領と電話。▽11時32分　報道各社のインタビュー。43分　藤井官房副長官補、黒田総務次官。▽12時33分　衆院第2議員会館。▽13時2分　官邸。▽14時27分　武田総務相。53分　棚橋泰文衆院議員。▽15時14分　梶山経産相、経産省の安藤次官、荒井総括審議官。49分　前田匡史国際協力銀行総裁、和泉補佐官、四方外務省経済局長、岡西国交審議官。59分　国際協力銀行総裁、和泉補佐官。▽16時2分　林官房副長官補、山田外務省総合外交政策局長、防衛省の岡防衛政策局長、山崎統合幕僚長。15分　秋葉外務次官。32分　園田修光参院議員、森博幸鹿児島市長。▽17時3分　月例経済報告関係閣僚会議。18分　和泉補佐官、吉田新型コロナウイルス感染症対策推進室長、厚労省の樽見次官、福島医務技監、鎌田医薬・生活衛生局長。29分　和泉補佐官、新型コロナウイルス感染症対策推進室長、厚労省医務技監。水嶋外務省領事局長加わる。▽18時43分　衆院第2議員会館。▽19時1分　東京・永田町のザ・キャピトルホテル東急。レストラン「ＯＲＩＧＡＭＩ」で西岡力麗沢大客員教授と会食。▽20時8分　東京・赤坂の衆院議員宿舎。 
2020-09-25,20209.0,2020,9,25,20209.0,2020-09,2020-Sep,Yoshihide_Suga,No,YES!,No,No,YES!,No,9月25日,▽6時42分　東京・赤坂の衆院議員宿舎発。46分　官邸。官邸の敷地内を散歩。▽7時25分　東京・虎ノ門のホテル「Ｔｈｅ　Ｏｋｕｒａ　Ｔｏｋｙｏ」。レストラン「オーキッド」でデービッド・アトキンソン小西美術工芸社社長と会食。▽8時41分　衆院第2議員会館。49分　山口選対委員長。56分　官邸。▽9時36分　マイナンバー制度および国と地方のデジタル基盤抜本改善ワーキンググループ。▽10時3分　閣議。18分　復興推進会議。34分　小泉環境相。50分　赤羽国交相。▽11時2分　飯島、平田、木山、西川、今井各参与に辞令交付。記念撮影。加藤官房長官、坂井、岡田、杉田各官房副長官同席。11分　茂木外相、秋葉外務次官。24分　外相。▽13時59分　官房長官、佐藤総務会長。▽14時4分　総務会長。▽15時33分　公正取引委員会の古谷、杉本新旧委員長。50分　野田幹事長代行。▽16時32分　インドのモディ首相と電話。▽17時7分　滝沢内閣情報官。27分　世耕参院幹事長。▽18時2分　新型コロナウイルス感染症の政府対策本部。19分　野上農相。43分　衆院第2議員会館。▽19時4分　東京・永田町のザ・キャピトルホテル東急。中国料理店「星ケ岡」で坂井、岡田両官房副長官と食事。▽20時13分　公邸。▽21時　中国の習近平国家主席と電話。38分　報道各社のインタビュー。45分　東京・赤坂の衆院議員宿舎。 
2020-09-26,20209.0,2020,9,26,20209.0,2020-09,2020-Sep,Yoshihide_Suga,No,No,No,No,YES!,No,9月26日,▽7時28分　東京・赤坂の衆院議員宿舎発。45分　ＪＲ上野駅。▽11時5分　ひたち3号でＪＲ大野駅。平沢復興相同行。内堀雅雄福島県知事ら出迎え。15分　福島県大熊、双葉両町の東京電力福島第1原発。小早川智明東京電力ホールディングス社長ら出迎え。視察。復興相、福島県知事らと昼食。▽13時24分　双葉町の「東日本大震災・原子力災害伝承館」。菅家一郎、吉野正芳両衆院議員、高村昇館長ら出迎え。展示を視察。森雅子前法相同行。▽14時29分　同県広野町の県立ふたば未来学園中学・高校。上杉謙太郎衆院議員、柳沼英樹校長ら出迎え。生徒と懇談、記念撮影。▽15時1分　報道各社のインタビュー。53分　ＪＲいわき駅。▽18時44分　ひたち22号でＪＲ東京駅。59分　東京・赤坂の衆院議員宿舎。 
